;sep.22;aug.22;jul.22;jun.22;mai.22;apr.22;mar.22;feb.22;jan.22;des.21;nov.21
1;210,74;20,78;21,47;115,20;146,71;164,12;136,33;189,07;417,90;1158,80;133,32
2;139,26;18,36;18,22;114,57;125,96;191,47;130,96;258,71;341,29;1508,68;118,72
3;139,30;17,12;16,02;122,00;135,74;207,39;153,33;207,47;354,88;1191,06;162,49
4;138,82;16,32;23,25;81,29;174,15;522,11;164,96;138,59;441,36;723,52;246,11
5;139,52;14,38;16,11;76,55;128,22;270,09;146,26;129,19;511,75;1196,80;161,64
6;310,57;14,58;17,63;107,16;109,21;271,75;137,25;127,29;509,92;1229,02;90,57
7;355,09;14,42;14,89;93,50;51,46;162,08;146,83;159,03;502,54;1173,53;116,76
8;561,69;15,13;13,17;72,82;133,68;149,80;158,36;140,99;453,14;739,01;210,51
9;581,80;16,30;18,22;92,96;148,24;207,39;148,97;126,88;426,96;418,91;129,94
10;408,19;11,49;20,14;108,67;134,80;120,18;139,23;124,60;479,25;456,44;92,92
11;321,65;5,97;32,97;126,25;119,34;153,33;145,64;123,07;277,88;501,55;102,56
12;1805,60;9,17;18,51;104,89;100,62;161,35;138,11;127,34;201,54;441,16;142,29
13;581,85;8,90;18,10;92,15;125,99;224,82;151,85;120,22;175,86;449,02;162,10
14;540,74;8,91;14,88;114,56;79,41;231,25;161,36;154,43;181,12;360,78;168,27
15;486,03;10,11;14,51;127,22;74,25;189,58;161,80;136,09;192,95;231,19;139,08
16;298,10;10,13;12,28;116,54;93,83;158,49;141,07;150,72;174,39;210,34;142,67
17;271,18;11,38;17,85;113,01;123,34;143,68;131,27;154,79;172,01;239,68;142,13
18;209,73;13,91;18,65;59,81;132,34;145,41;126,04;140,77;178,03;216,89;133,49
19;211,14;7,16;26,49;69,61;125,59;134,67;119,26;128,76;151,99;219,19;122,52
20;377,72;7,59;21,46;144,74;130,60;128,13;129,13;135,45;135,40;586,92;119,18
21;306,99;6,21;24,63;96,57;131,51;130,96;153,77;156,24;179,48;638,69;153,61
22;302,60;7,21;19,83;100,39;132,81;131,46;148,69;565,91;145,82;628,73;173,45
23;238,65;5,89;18,42;54,40;94,73;129,22;135,09;126,04;122,53;392,95;148,76
24;248,72;12,24;18,41;67,81;70,02;130,64;136,16;133,41;125,90;311,72;234,19
25;180,52;13,12;22,44;40,12;67,14;133,21;123,26;146,29;144,66;319,32;412,03
26;171,10;95,17;17,73;34,68;82,87;125,22;117,42;143,58;152,56;502,01;1156,47
27;230,29;98,20;16,87;33,80;98,91;136,42;131,64;140,26;273,54;580,93;1704,51
28;295,56;73,04;17,88;21,51;47,37;156,62;129,21;143,46;153,98;604,31;1926,46
29;402,27;83,88;22,29;32,44;122,05;179,73;240,03;;150,99;655,94;2254,26
30;462,57;109,47;17,37;32,03;123,93;162,47;149,40;;125,59;544,68;1508,61
31;;116,34;24,30;;123,58;;348,77;;274,10;378,28;
