datoId,tariffgruppe,konsesjonar,organisasjonsnr,fylkeNr,fylke,harMva,harForbruksavgift,fastleddEks,energileddEks,effekttrinnFraKw,effekttrinnTilKw,fastleddInk,energileddInk,time
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,632,22,20,25,790,47.3,21
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,22,2,5,350,47.3,10
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,16,2,5,350,39.8,0
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,2000,16,75,100,2500,39.8,0
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,4000,22,100,1000,5000,47.3,17
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,2000,16,75,100,2500,39.8,5
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,232,16,0,2,290,39.8,0
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,16,2,5,350,39.8,1
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,2000,16,75,100,2500,39.8,23
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,19
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,380,22,5,10,475,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,22,2,5,350,47.3,19
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,21
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,22
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,380,22,5,10,475,47.3,17
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,1500,22,50,75,1875,47.3,12
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,543,22,15,20,678.75,47.3,17
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,543,22,15,20,678.75,47.3,8
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,1500,16,50,75,1875,39.8,5
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,1500,22,50,75,1875,47.3,7
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,4000,22,100,1000,5000,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,22,2,5,350,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,22,2,5,350,47.3,15
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,1500,22,50,75,1875,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,232,22,0,2,290,47.3,8
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,380,22,5,10,475,47.3,22
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,4000,22,100,1000,5000,47.3,6
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,232,22,0,2,290,47.3,19
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,632,16,20,25,790,39.8,2
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,280,16,2,5,350,39.8,3
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,9
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,632,22,20,25,790,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,2000,22,75,100,2500,47.3,10
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,232,22,0,2,290,47.3,16
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,6
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,543,22,15,20,678.75,47.3,10
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,4000,22,100,1000,5000,47.3,10
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,380,16,5,10,475,39.8,1
2023-11-08T00:00:00,Husholdning,ENIDA AS,918312730,11,Rogaland,TRUE,TRUE,455,22,10,15,568.75,47.3,20
