Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
1753;330;NO5;Jordbruk, skogbruk og fiske;30.12.2022
5307;264;NO5;Uklassifisert;30.12.2022
163;13566;NO5;Bergverksdrift og utvinning;30.12.2022
1227;10233;NO5;Industri;30.12.2022
971;1295;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;30.12.2022
850;174;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;30.12.2022
2764;420;NO5;Bygge- og anleggsvirksomhet;30.12.2022
45496;1612;NO5;Fritidsbolig;30.12.2022
254393;12342;NO5;Husholdning;30.12.2022
23017;7883;NO5;Tjenesteyting;30.12.2022
7327;1353;NO1;Jordbruk, skogbruk og fiske;29.12.2022
7577;674;NO1;Uklassifisert;29.12.2022
284;156;NO1;Bergverksdrift og utvinning;29.12.2022
4673;11647;NO1;Industri;29.12.2022
1740;4588;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;29.12.2022
2346;1251;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;29.12.2022
12097;2446;NO1;Bygge- og anleggsvirksomhet;29.12.2022
109083;4063;NO1;Fritidsbolig;29.12.2022
1057703;56264;NO1;Husholdning;29.12.2022
112775;35660;NO1;Tjenesteyting;29.12.2022
6688;1529;NO2;Jordbruk, skogbruk og fiske;29.12.2022
11894;737;NO2;Uklassifisert;29.12.2022
493;6028;NO2;Bergverksdrift og utvinning;29.12.2022
4117;36733;NO2;Industri;29.12.2022
2171;10576;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;29.12.2022
1775;551;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;29.12.2022
10453;1155;NO2;Bygge- og anleggsvirksomhet;29.12.2022
102733;2450;NO2;Fritidsbolig;29.12.2022
606109;31720;NO2;Husholdning;29.12.2022
65282;19063;NO2;Tjenesteyting;29.12.2022
12363;2303;NO3;Jordbruk, skogbruk og fiske;29.12.2022
3850;310;NO3;Uklassifisert;29.12.2022
231;4875;NO3;Bergverksdrift og utvinning;29.12.2022
3325;35386;NO3;Industri;29.12.2022
1913;2673;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;29.12.2022
1355;210;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;29.12.2022
5169;847;NO3;Bygge- og anleggsvirksomhet;29.12.2022
62198;1776;NO3;Fritidsbolig;29.12.2022
391032;21892;NO3;Husholdning;29.12.2022
48952;12531;NO3;Tjenesteyting;29.12.2022
3797;1441;NO4;Jordbruk, skogbruk og fiske;29.12.2022
4305;272;NO4;Uklassifisert;29.12.2022
199;5138;NO4;Bergverksdrift og utvinning;29.12.2022
1790;16936;NO4;Industri;29.12.2022
1052;3763;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;29.12.2022
832;155;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;29.12.2022
3581;614;NO4;Bygge- og anleggsvirksomhet;29.12.2022
43898;1455;NO4;Fritidsbolig;29.12.2022
