Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
165;8794;NO5;Bergverksdrift og utvinning;11.09.2022
1230;10033;NO5;Industri;11.09.2022
1015;820;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.09.2022
826;100;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;11.09.2022
2835;201;NO5;Bygge- og anleggsvirksomhet;11.09.2022
44977;473;NO5;Fritidsbolig;11.09.2022
252812;5873;NO5;Husholdning;11.09.2022
23026;4397;NO5;Tjenesteyting;11.09.2022
7478;751;NO1;Jordbruk, skogbruk og fiske;10.09.2022
7522;430;NO1;Uklassifisert;10.09.2022
282;69;NO1;Bergverksdrift og utvinning;10.09.2022
4681;9047;NO1;Industri;10.09.2022
1682;811;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.09.2022
2324;863;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;10.09.2022
12249;1129;NO1;Bygge- og anleggsvirksomhet;10.09.2022
107661;1263;NO1;Fritidsbolig;10.09.2022
1052770;22843;NO1;Husholdning;10.09.2022
112659;20077;NO1;Tjenesteyting;10.09.2022
6696;1161;NO2;Jordbruk, skogbruk og fiske;10.09.2022
11820;536;NO2;Uklassifisert;10.09.2022
489;4003;NO2;Bergverksdrift og utvinning;10.09.2022
4140;38727;NO2;Industri;10.09.2022
2154;2426;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.09.2022
1765;309;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;10.09.2022
10272;529;NO2;Bygge- og anleggsvirksomhet;10.09.2022
102019;964;NO2;Fritidsbolig;10.09.2022
603339;13460;NO2;Husholdning;10.09.2022
65044;11754;NO2;Tjenesteyting;10.09.2022
12493;1556;NO3;Jordbruk, skogbruk og fiske;10.09.2022
3807;183;NO3;Uklassifisert;10.09.2022
233;3414;NO3;Bergverksdrift og utvinning;10.09.2022
3331;34486;NO3;Industri;10.09.2022
1876;2537;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.09.2022
1352;140;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;10.09.2022
5176;377;NO3;Bygge- og anleggsvirksomhet;10.09.2022
61871;826;NO3;Fritidsbolig;10.09.2022
389263;10393;NO3;Husholdning;10.09.2022
48946;8345;NO3;Tjenesteyting;10.09.2022
3749;1107;NO4;Jordbruk, skogbruk og fiske;10.09.2022
4263;135;NO4;Uklassifisert;10.09.2022
201;5197;NO4;Bergverksdrift og utvinning;10.09.2022
1800;17759;NO4;Industri;10.09.2022
1039;3690;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.09.2022
831;86;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;10.09.2022
3583;295;NO4;Bygge- og anleggsvirksomhet;10.09.2022
43210;753;NO4;Fritidsbolig;10.09.2022
240734;10069;NO4;Husholdning;10.09.2022
34726;7364;NO4;Tjenesteyting;10.09.2022
1757;246;NO5;Jordbruk, skogbruk og fiske;10.09.2022
3572;127;NO5;Uklassifisert;10.09.2022
165;8691;NO5;Bergverksdrift og utvinning;10.09.2022
1230;10051;NO5;Industri;10.09.2022
1015;828;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.09.2022
826;102;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;10.09.2022
2834;213;NO5;Bygge- og anleggsvirksomhet;10.09.2022
44972;578;NO5;Fritidsbolig;10.09.2022
252781;5561;NO5;Husholdning;10.09.2022
23026;4687;NO5;Tjenesteyting;10.09.2022
7478;731;NO1;Jordbruk, skogbruk og fiske;09.09.2022
7524;427;NO1;Uklassifisert;09.09.2022
282;123;NO1;Bergverksdrift og utvinning;09.09.2022
4682;10892;NO1;Industri;09.09.2022
1684;964;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.09.2022
2324;999;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;09.09.2022
12250;1379;NO1;Bygge- og anleggsvirksomhet;09.09.2022
107661;1085;NO1;Fritidsbolig;09.09.2022
1052795;22269;NO1;Husholdning;09.09.2022
112667;24283;NO1;Tjenesteyting;09.09.2022
6696;1202;NO2;Jordbruk, skogbruk og fiske;09.09.2022
11820;526;NO2;Uklassifisert;09.09.2022
489;4092;NO2;Bergverksdrift og utvinning;09.09.2022
4140;40706;NO2;Industri;09.09.2022
2154;4418;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.09.2022
1765;381;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;09.09.2022
10276;652;NO2;Bygge- og anleggsvirksomhet;09.09.2022
102020;844;NO2;Fritidsbolig;09.09.2022
603337;13444;NO2;Husholdning;09.09.2022
65044;13639;NO2;Tjenesteyting;09.09.2022
12495;1542;NO3;Jordbruk, skogbruk og fiske;09.09.2022
3807;184;NO3;Uklassifisert;09.09.2022
233;3272;NO3;Bergverksdrift og utvinning;09.09.2022
3331;35472;NO3;Industri;09.09.2022
1876;2822;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.09.2022
1352;167;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;09.09.2022
5176;443;NO3;Bygge- og anleggsvirksomhet;09.09.2022
61881;684;NO3;Fritidsbolig;09.09.2022
389281;10041;NO3;Husholdning;09.09.2022
48951;9633;NO3;Tjenesteyting;09.09.2022
3749;1181;NO4;Jordbruk, skogbruk og fiske;09.09.2022
4263;134;NO4;Uklassifisert;09.09.2022
201;5215;NO4;Bergverksdrift og utvinning;09.09.2022
1800;17919;NO4;Industri;09.09.2022
1039;3700;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.09.2022
831;109;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;09.09.2022
3584;340;NO4;Bygge- og anleggsvirksomhet;09.09.2022
43210;689;NO4;Fritidsbolig;09.09.2022
240735;10079;NO4;Husholdning;09.09.2022
34726;7918;NO4;Tjenesteyting;09.09.2022
1757;248;NO5;Jordbruk, skogbruk og fiske;09.09.2022
3572;127;NO5;Uklassifisert;09.09.2022
165;8898;NO5;Bergverksdrift og utvinning;09.09.2022
1230;10461;NO5;Industri;09.09.2022
1016;855;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.09.2022
826;108;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;09.09.2022
2834;259;NO5;Bygge- og anleggsvirksomhet;09.09.2022
44974;504;NO5;Fritidsbolig;09.09.2022
252783;5453;NO5;Husholdning;09.09.2022
23025;5504;NO5;Tjenesteyting;09.09.2022
7481;714;NO1;Jordbruk, skogbruk og fiske;08.09.2022
7523;425;NO1;Uklassifisert;08.09.2022
282;182;NO1;Bergverksdrift og utvinning;08.09.2022
4680;11387;NO1;Industri;08.09.2022
1680;823;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.09.2022
2324;1034;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;08.09.2022
12263;1389;NO1;Bygge- og anleggsvirksomhet;08.09.2022
107664;800;NO1;Fritidsbolig;08.09.2022
1052893;21475;NO1;Husholdning;08.09.2022
112681;24320;NO1;Tjenesteyting;08.09.2022
6696;1203;NO2;Jordbruk, skogbruk og fiske;08.09.2022
11818;542;NO2;Uklassifisert;08.09.2022
489;4177;NO2;Bergverksdrift og utvinning;08.09.2022
4139;41667;NO2;Industri;08.09.2022
2153;1925;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.09.2022
1765;399;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;08.09.2022
10276;655;NO2;Bygge- og anleggsvirksomhet;08.09.2022
102020;650;NO2;Fritidsbolig;08.09.2022
603322;12751;NO2;Husholdning;08.09.2022
65022;13256;NO2;Tjenesteyting;08.09.2022
12497;1532;NO3;Jordbruk, skogbruk og fiske;08.09.2022
3807;185;NO3;Uklassifisert;08.09.2022
233;3600;NO3;Bergverksdrift og utvinning;08.09.2022
3333;35690;NO3;Industri;08.09.2022
1876;2715;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.09.2022
1352;173;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;08.09.2022
5175;452;NO3;Bygge- og anleggsvirksomhet;08.09.2022
61893;561;NO3;Fritidsbolig;08.09.2022
389390;10194;NO3;Husholdning;08.09.2022
48938;9820;NO3;Tjenesteyting;08.09.2022
3749;1186;NO4;Jordbruk, skogbruk og fiske;08.09.2022
4264;130;NO4;Uklassifisert;08.09.2022
202;5210;NO4;Bergverksdrift og utvinning;08.09.2022
1800;18075;NO4;Industri;08.09.2022
1039;3737;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.09.2022
831;120;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;08.09.2022
3585;341;NO4;Bygge- og anleggsvirksomhet;08.09.2022
43207;586;NO4;Fritidsbolig;08.09.2022
240734;9881;NO4;Husholdning;08.09.2022
34710;7837;NO4;Tjenesteyting;08.09.2022
1757;245;NO5;Jordbruk, skogbruk og fiske;08.09.2022
3572;125;NO5;Uklassifisert;08.09.2022
166;11457;NO5;Bergverksdrift og utvinning;08.09.2022
1228;10644;NO5;Industri;08.09.2022
1016;890;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.09.2022
825;123;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;08.09.2022
2840;249;NO5;Bygge- og anleggsvirksomhet;08.09.2022
44972;374;NO5;Fritidsbolig;08.09.2022
252783;5337;NO5;Husholdning;08.09.2022
23027;5519;NO5;Tjenesteyting;08.09.2022
7480;678;NO1;Jordbruk, skogbruk og fiske;07.09.2022
7522;428;NO1;Uklassifisert;07.09.2022
282;181;NO1;Bergverksdrift og utvinning;07.09.2022
4682;10676;NO1;Industri;07.09.2022
1679;868;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;07.09.2022
2324;1042;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;07.09.2022
12266;1387;NO1;Bygge- og anleggsvirksomhet;07.09.2022
107635;712;NO1;Fritidsbolig;07.09.2022
1052841;21080;NO1;Husholdning;07.09.2022
112666;24481;NO1;Tjenesteyting;07.09.2022
6696;1193;NO2;Jordbruk, skogbruk og fiske;07.09.2022
11816;551;NO2;Uklassifisert;07.09.2022
489;4137;NO2;Bergverksdrift og utvinning;07.09.2022
4139;41638;NO2;Industri;07.09.2022
2155;2891;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;07.09.2022
1765;407;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;07.09.2022
10265;662;NO2;Bygge- og anleggsvirksomhet;07.09.2022
102021;602;NO2;Fritidsbolig;07.09.2022
603291;12483;NO2;Husholdning;07.09.2022
65006;13116;NO2;Tjenesteyting;07.09.2022
12495;1526;NO3;Jordbruk, skogbruk og fiske;07.09.2022
3807;183;NO3;Uklassifisert;07.09.2022
233;4517;NO3;Bergverksdrift og utvinning;07.09.2022
3332;35522;NO3;Industri;07.09.2022
1876;2853;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;07.09.2022
1353;170;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;07.09.2022
5175;459;NO3;Bygge- og anleggsvirksomhet;07.09.2022
61883;548;NO3;Fritidsbolig;07.09.2022
389353;10405;NO3;Husholdning;07.09.2022
48943;9935;NO3;Tjenesteyting;07.09.2022
3749;1191;NO4;Jordbruk, skogbruk og fiske;07.09.2022
4264;131;NO4;Uklassifisert;07.09.2022
201;5220;NO4;Bergverksdrift og utvinning;07.09.2022
1800;17552;NO4;Industri;07.09.2022
1039;3556;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;07.09.2022
832;125;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;07.09.2022
3585;349;NO4;Bygge- og anleggsvirksomhet;07.09.2022
43203;593;NO4;Fritidsbolig;07.09.2022
240734;10275;NO4;Husholdning;07.09.2022
34704;8394;NO4;Tjenesteyting;07.09.2022
1757;240;NO5;Jordbruk, skogbruk og fiske;07.09.2022
3573;126;NO5;Uklassifisert;07.09.2022
166;11651;NO5;Bergverksdrift og utvinning;07.09.2022
1228;10577;NO5;Industri;07.09.2022
1016;899;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;07.09.2022
825;124;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;07.09.2022
2842;249;NO5;Bygge- og anleggsvirksomhet;07.09.2022
44972;328;NO5;Fritidsbolig;07.09.2022
252757;5241;NO5;Husholdning;07.09.2022
23025;5518;NO5;Tjenesteyting;07.09.2022
7481;674;NO1;Jordbruk, skogbruk og fiske;06.09.2022
7522;414;NO1;Uklassifisert;06.09.2022
282;197;NO1;Bergverksdrift og utvinning;06.09.2022
4684;11703;NO1;Industri;06.09.2022
1680;866;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;06.09.2022
2324;1024;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;06.09.2022
12229;1385;NO1;Bygge- og anleggsvirksomhet;06.09.2022
107624;706;NO1;Fritidsbolig;06.09.2022
1052766;21130;NO1;Husholdning;06.09.2022
112668;24470;NO1;Tjenesteyting;06.09.2022
6696;1099;NO2;Jordbruk, skogbruk og fiske;06.09.2022
11815;499;NO2;Uklassifisert;06.09.2022
489;4170;NO2;Bergverksdrift og utvinning;06.09.2022
4138;41417;NO2;Industri;06.09.2022
2153;3497;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;06.09.2022
1765;385;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;06.09.2022
10262;646;NO2;Bygge- og anleggsvirksomhet;06.09.2022
102008;585;NO2;Fritidsbolig;06.09.2022
603271;12083;NO2;Husholdning;06.09.2022
65006;13489;NO2;Tjenesteyting;06.09.2022
12503;1498;NO3;Jordbruk, skogbruk og fiske;06.09.2022
3807;183;NO3;Uklassifisert;06.09.2022
233;4662;NO3;Bergverksdrift og utvinning;06.09.2022
3332;36150;NO3;Industri;06.09.2022
1875;2756;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;06.09.2022
1352;176;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;06.09.2022
5156;447;NO3;Bygge- og anleggsvirksomhet;06.09.2022
61878;523;NO3;Fritidsbolig;06.09.2022
389338;10106;NO3;Husholdning;06.09.2022
48946;9795;NO3;Tjenesteyting;06.09.2022
3749;1172;NO4;Jordbruk, skogbruk og fiske;06.09.2022
4265;141;NO4;Uklassifisert;06.09.2022
201;5314;NO4;Bergverksdrift og utvinning;06.09.2022
1800;18656;NO4;Industri;06.09.2022
1039;3174;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;06.09.2022
833;129;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;06.09.2022
3582;352;NO4;Bygge- og anleggsvirksomhet;06.09.2022
43199;597;NO4;Fritidsbolig;06.09.2022
240730;10374;NO4;Husholdning;06.09.2022
34706;8368;NO4;Tjenesteyting;06.09.2022
1757;242;NO5;Jordbruk, skogbruk og fiske;06.09.2022
3571;124;NO5;Uklassifisert;06.09.2022
166;11912;NO5;Bergverksdrift og utvinning;06.09.2022
1228;10566;NO5;Industri;06.09.2022
1016;937;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;06.09.2022
825;121;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;06.09.2022
2840;253;NO5;Bygge- og anleggsvirksomhet;06.09.2022
44967;325;NO5;Fritidsbolig;06.09.2022
252728;5167;NO5;Husholdning;06.09.2022
23025;5493;NO5;Tjenesteyting;06.09.2022
7478;666;NO1;Jordbruk, skogbruk og fiske;05.09.2022
7521;413;NO1;Uklassifisert;05.09.2022
282;183;NO1;Bergverksdrift og utvinning;05.09.2022
4684;11355;NO1;Industri;05.09.2022
1678;813;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;05.09.2022
2324;992;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;05.09.2022
12135;1361;NO1;Bygge- og anleggsvirksomhet;05.09.2022
107611;726;NO1;Fritidsbolig;05.09.2022
1052700;21447;NO1;Husholdning;05.09.2022
112670;24274;NO1;Tjenesteyting;05.09.2022
6697;1133;NO2;Jordbruk, skogbruk og fiske;05.09.2022
11809;525;NO2;Uklassifisert;05.09.2022
489;4127;NO2;Bergverksdrift og utvinning;05.09.2022
4138;41608;NO2;Industri;05.09.2022
2154;7518;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;05.09.2022
1765;376;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;05.09.2022
10252;632;NO2;Bygge- og anleggsvirksomhet;05.09.2022
102000;591;NO2;Fritidsbolig;05.09.2022
603276;12207;NO2;Husholdning;05.09.2022
64996;13459;NO2;Tjenesteyting;05.09.2022
12498;1499;NO3;Jordbruk, skogbruk og fiske;05.09.2022
3807;179;NO3;Uklassifisert;05.09.2022
232;4651;NO3;Bergverksdrift og utvinning;05.09.2022
3333;36163;NO3;Industri;05.09.2022
1876;2669;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;05.09.2022
1352;179;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;05.09.2022
5147;448;NO3;Bygge- og anleggsvirksomhet;05.09.2022
61882;520;NO3;Fritidsbolig;05.09.2022
389317;9995;NO3;Husholdning;05.09.2022
48937;9681;NO3;Tjenesteyting;05.09.2022
3748;1146;NO4;Jordbruk, skogbruk og fiske;05.09.2022
4265;138;NO4;Uklassifisert;05.09.2022
201;5068;NO4;Bergverksdrift og utvinning;05.09.2022
1799;18135;NO4;Industri;05.09.2022
1039;3807;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;05.09.2022
832;124;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;05.09.2022
3581;336;NO4;Bygge- og anleggsvirksomhet;05.09.2022
43199;586;NO4;Fritidsbolig;05.09.2022
240725;10281;NO4;Husholdning;05.09.2022
34703;8278;NO4;Tjenesteyting;05.09.2022
1757;241;NO5;Jordbruk, skogbruk og fiske;05.09.2022
3571;123;NO5;Uklassifisert;05.09.2022
166;11754;NO5;Bergverksdrift og utvinning;05.09.2022
1229;10445;NO5;Industri;05.09.2022
1018;946;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;05.09.2022
825;113;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;05.09.2022
2841;254;NO5;Bygge- og anleggsvirksomhet;05.09.2022
44961;326;NO5;Fritidsbolig;05.09.2022
252714;5187;NO5;Husholdning;05.09.2022
23031;5470;NO5;Tjenesteyting;05.09.2022
7479;691;NO1;Jordbruk, skogbruk og fiske;04.09.2022
7524;424;NO1;Uklassifisert;04.09.2022
282;66;NO1;Bergverksdrift og utvinning;04.09.2022
4685;8975;NO1;Industri;04.09.2022
1678;765;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;04.09.2022
2324;845;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;04.09.2022
12128;1038;NO1;Bygge- og anleggsvirksomhet;04.09.2022
107608;962;NO1;Fritidsbolig;04.09.2022
1052663;23159;NO1;Husholdning;04.09.2022
112685;18645;NO1;Tjenesteyting;04.09.2022
6698;1054;NO2;Jordbruk, skogbruk og fiske;04.09.2022
11810;488;NO2;Uklassifisert;04.09.2022
489;4008;NO2;Bergverksdrift og utvinning;04.09.2022
4138;39421;NO2;Industri;04.09.2022
2151;9798;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;04.09.2022
1765;284;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;04.09.2022
10253;473;NO2;Bygge- og anleggsvirksomhet;04.09.2022
101998;758;NO2;Fritidsbolig;04.09.2022
603242;12647;NO2;Husholdning;04.09.2022
64993;10673;NO2;Tjenesteyting;04.09.2022
12497;1492;NO3;Jordbruk, skogbruk og fiske;04.09.2022
3806;177;NO3;Uklassifisert;04.09.2022
232;4537;NO3;Bergverksdrift og utvinning;04.09.2022
3331;34748;NO3;Industri;04.09.2022
1874;2706;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;04.09.2022
1352;147;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;04.09.2022
5140;362;NO3;Bygge- og anleggsvirksomhet;04.09.2022
61873;688;NO3;Fritidsbolig;04.09.2022
389310;10264;NO3;Husholdning;04.09.2022
48930;7775;NO3;Tjenesteyting;04.09.2022
3749;1062;NO4;Jordbruk, skogbruk og fiske;04.09.2022
4264;135;NO4;Uklassifisert;04.09.2022
201;5067;NO4;Bergverksdrift og utvinning;04.09.2022
1800;17779;NO4;Industri;04.09.2022
1039;3671;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;04.09.2022
832;107;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;04.09.2022
3581;274;NO4;Bygge- og anleggsvirksomhet;04.09.2022
43196;688;NO4;Fritidsbolig;04.09.2022
240728;10160;NO4;Husholdning;04.09.2022
34699;7031;NO4;Tjenesteyting;04.09.2022
1758;234;NO5;Jordbruk, skogbruk og fiske;04.09.2022
3569;118;NO5;Uklassifisert;04.09.2022
166;11441;NO5;Bergverksdrift og utvinning;04.09.2022
1228;10050;NO5;Industri;04.09.2022
1018;1163;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;04.09.2022
825;91;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;04.09.2022
2832;197;NO5;Bygge- og anleggsvirksomhet;04.09.2022
44962;414;NO5;Fritidsbolig;04.09.2022
252653;5477;NO5;Husholdning;04.09.2022
23030;4332;NO5;Tjenesteyting;04.09.2022
7478;666;NO1;Jordbruk, skogbruk og fiske;03.09.2022
7524;430;NO1;Uklassifisert;03.09.2022
282;69;NO1;Bergverksdrift og utvinning;03.09.2022
4681;8937;NO1;Industri;03.09.2022
1678;764;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;03.09.2022
2324;875;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;03.09.2022
12127;1088;NO1;Bygge- og anleggsvirksomhet;03.09.2022
107595;1128;NO1;Fritidsbolig;03.09.2022
1052495;21757;NO1;Husholdning;03.09.2022
112669;19779;NO1;Tjenesteyting;03.09.2022
6697;1028;NO2;Jordbruk, skogbruk og fiske;03.09.2022
11809;472;NO2;Uklassifisert;03.09.2022
489;4018;NO2;Bergverksdrift og utvinning;03.09.2022
4138;39819;NO2;Industri;03.09.2022
2151;9494;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;03.09.2022
1765;318;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;03.09.2022
10252;499;NO2;Bygge- og anleggsvirksomhet;03.09.2022
101994;877;NO2;Fritidsbolig;03.09.2022
603189;12252;NO2;Husholdning;03.09.2022
64989;11380;NO2;Tjenesteyting;03.09.2022
12494;1494;NO3;Jordbruk, skogbruk og fiske;03.09.2022
3806;188;NO3;Uklassifisert;03.09.2022
232;4568;NO3;Bergverksdrift og utvinning;03.09.2022
3331;35216;NO3;Industri;03.09.2022
1874;2722;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;03.09.2022
1352;150;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;03.09.2022
5140;378;NO3;Bygge- og anleggsvirksomhet;03.09.2022
61850;816;NO3;Fritidsbolig;03.09.2022
389183;10304;NO3;Husholdning;03.09.2022
48924;8337;NO3;Tjenesteyting;03.09.2022
3748;1067;NO4;Jordbruk, skogbruk og fiske;03.09.2022
4264;133;NO4;Uklassifisert;03.09.2022
201;5137;NO4;Bergverksdrift og utvinning;03.09.2022
1799;17684;NO4;Industri;03.09.2022
1038;3720;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;03.09.2022
832;109;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;03.09.2022
3579;286;NO4;Bygge- og anleggsvirksomhet;03.09.2022
43194;777;NO4;Fritidsbolig;03.09.2022
240715;10011;NO4;Husholdning;03.09.2022
34692;7437;NO4;Tjenesteyting;03.09.2022
1757;236;NO5;Jordbruk, skogbruk og fiske;03.09.2022
3569;122;NO5;Uklassifisert;03.09.2022
166;11261;NO5;Bergverksdrift og utvinning;03.09.2022
1228;9880;NO5;Industri;03.09.2022
1018;912;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;03.09.2022
825;85;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;03.09.2022
2832;205;NO5;Bygge- og anleggsvirksomhet;03.09.2022
44960;476;NO5;Fritidsbolig;03.09.2022
252638;5396;NO5;Husholdning;03.09.2022
23029;4669;NO5;Tjenesteyting;03.09.2022
7478;718;NO1;Jordbruk, skogbruk og fiske;02.09.2022
7519;421;NO1;Uklassifisert;02.09.2022
282;113;NO1;Bergverksdrift og utvinning;02.09.2022
4681;10828;NO1;Industri;02.09.2022
1678;981;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;02.09.2022
2326;982;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;02.09.2022
12126;1374;NO1;Bygge- og anleggsvirksomhet;02.09.2022
107597;986;NO1;Fritidsbolig;02.09.2022
1052531;21445;NO1;Husholdning;02.09.2022
112672;24081;NO1;Tjenesteyting;02.09.2022
6697;1032;NO2;Jordbruk, skogbruk og fiske;02.09.2022
11809;465;NO2;Uklassifisert;02.09.2022
489;4182;NO2;Bergverksdrift og utvinning;02.09.2022
4138;41339;NO2;Industri;02.09.2022
2151;8761;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;02.09.2022
1765;389;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;02.09.2022
10254;647;NO2;Bygge- og anleggsvirksomhet;02.09.2022
101992;754;NO2;Fritidsbolig;02.09.2022
603189;12211;NO2;Husholdning;02.09.2022
64990;13480;NO2;Tjenesteyting;02.09.2022
12494;1491;NO3;Jordbruk, skogbruk og fiske;02.09.2022
3806;184;NO3;Uklassifisert;02.09.2022
232;4593;NO3;Bergverksdrift og utvinning;02.09.2022
3331;36664;NO3;Industri;02.09.2022
1874;2754;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;02.09.2022
1352;174;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;02.09.2022
5141;450;NO3;Bygge- og anleggsvirksomhet;02.09.2022
61863;715;NO3;Fritidsbolig;02.09.2022
389199;10442;NO3;Husholdning;02.09.2022
48925;9686;NO3;Tjenesteyting;02.09.2022
3748;1158;NO4;Jordbruk, skogbruk og fiske;02.09.2022
4264;133;NO4;Uklassifisert;02.09.2022
201;5178;NO4;Bergverksdrift og utvinning;02.09.2022
1800;17147;NO4;Industri;02.09.2022
1038;3728;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;02.09.2022
832;119;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;02.09.2022
3579;331;NO4;Bygge- og anleggsvirksomhet;02.09.2022
43193;681;NO4;Fritidsbolig;02.09.2022
240713;9899;NO4;Husholdning;02.09.2022
34691;8214;NO4;Tjenesteyting;02.09.2022
1757;239;NO5;Jordbruk, skogbruk og fiske;02.09.2022
3569;122;NO5;Uklassifisert;02.09.2022
166;11002;NO5;Bergverksdrift og utvinning;02.09.2022
1228;10504;NO5;Industri;02.09.2022
1018;869;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;02.09.2022
825;97;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;02.09.2022
2832;259;NO5;Bygge- og anleggsvirksomhet;02.09.2022
44962;418;NO5;Fritidsbolig;02.09.2022
252651;5389;NO5;Husholdning;02.09.2022
23029;5503;NO5;Tjenesteyting;02.09.2022
7481;676;NO1;Jordbruk, skogbruk og fiske;01.09.2022
7518;419;NO1;Uklassifisert;01.09.2022
282;169;NO1;Bergverksdrift og utvinning;01.09.2022
4684;11383;NO1;Industri;01.09.2022
