;sep.22;aug.22;jul.22;jun.22;mai.22;apr.22;mar.22;feb.22;jan.22;des.21;nov.21
1;5661,2;3624,96;2378,12;1813,51;1912,52;1812,91;1473,32;1441,03;1270,33;1198,52;680,94
2;4355,86;3147,48;2044,46;1648,46;2043,86;1800,67;1491,14;1347,62;1143,42;1890,01;876,5
3;3848,56;2898,4;1877,09;1633,27;2126,09;1774,77;1588,54;1466,28;1292,36;1514,04;952,47
4;3076,03;3462,11;2278,44;1557,86;2208,12;1669,2;2001,57;1230,29;1474,21;1368,07;1045,12
5;3886,78;3464,51;2353,98;1424,87;2198,23;1741,85;1827,24;1161,47;1335,62;1320,89;878,13
6;4084,27;2669,55;2368,15;868,43;2093,54;1663,25;1871,19;1121,65;1858,67;1716,68;775,98
7;4508,11;2336,71;1994,02;1692,59;1942,83;1625,53;2334,99;1224,93;1593,72;1762,14;688,95
8;4319,31;3423,48;2092,1;1742,48;1824,56;1634;2577,98;1239,18;1457,76;1329,72;1217,93
9;3491,85;3373,82;1214,56;1698,16;2008,54;1581,43;2212,13;1215,64;1427,34;1327,5;828,81
10;4094,97;3247,08;1166,6;1643,46;1855,79;1599,33;2089,09;1248,83;1939,69;1511,6;875,59
11;4032,38;3476,14;3014,81;1232,07;1784,4;1812,25;1898,89;1290,09;1515,36;1622,6;889,95
12;4082,86;4032,26;3062,8;1128,1;1585,86;1751,28;1771,35;1128,57;1385,6;1344,41;920,65
13;3823,02;3657,26;2646,26;1550,59;1477,61;1770,81;1626,08;1034,67;1264,04;1372,51;912,49
14;4233,73;3452,92;2714,66;1826,44;1407,57;1851,3;1968,06;1093,35;1289,19;2081,75;969,75
15;3648,33;3971,74;2423,45;1877,37;1445,23;1809,71;2124,65;1139,12;1551,41;1308,68;967,75
16;3210,08;4404,18;1512,73;1915,08;1799,99;1633,49;1921,33;1109,35;1277,2;1561,46;958,26
17;2621,09;4894,8;2180,73;2168,55;1835,2;1412,44;1720,68;1030,7;1323,24;1819,27;893,14
18;1150,73;5255,38;3269,51;1742,6;1830,43;1325,8;1797,3;1112,15;1609,47;1590,06;890,93
19;2804,71;4843,2;3347,69;1522,72;1938,23;1895,57;1635,41;1031,69;1353,45;1501,94;830,94
20;3779,35;4378,69;2767,49;2513,85;1889,26;1813,03;1585,95;1015,84;1295,95;3125,42;893,89
21;3872,6;3615,31;3330,68;2468,52;1360,38;1785,38;1712,6;1080,34;1373,08;3954,12;932,44
22;3803,24;5331,2;3159,16;2304,59;1635,72;1667,83;1892,6;1234,9;1392,41;2617,39;1237,17
23;3593,76;5322,96;3114,57;2404,75;1781,9;1517,79;1956,64;1108,7;1374,39;2460,61;1105,76
24;3517,19;5547,56;2586,02;2099,97;1314,59;1231,87;1843,8;1165,44;1354,77;2003,89;1093,82
25;3025,27;5398,82;2672,21;2052,2;1577,98;1971,84;1778,73;1262,24;1569,99;2015,82;1122,16
26;2573,23;6225,65;2114,14;1708,04;542,23;1913,32;1735,39;1407,89;1326,19;1878,81;1170,43
27;3068,82;5762,17;2660,23;2236,29;490,14;1995;1755,1;1379,66;1268,28;1804,95;1479,3
28;3081,09;4850,96;4221,24;2187,11;346,96;2039,42;1768,73;1429,06;1360,43;1474,59;1877,58
29;3460,74;6284,2;4107,51;2537,17;1439,97;2136,98;1924,46;;1080,06;1669,85;2558,66
30;2897,27;6452,61;3682,62;2801,6;1774,72;1929,12;2070,31;;1207,3;1391,29;1374,29
31;;5885,51;3105,29;;1777,24;;2021,17;;1629,77;1355,8;
