area,kompensasjon_nåværende_ordning,kompensasjon_ny_ordning,kompensasjon_daværende_ordning,husholdningskostnad_nåværende_ordning,husholdningskostnad_ny_ordning,husholdningskostnad_daværende_ordning,besparelse_ny_vs_daværende,besparelse_ny_vs_nåværende
NO1,16185.7818698091,16991.0145921126,15191.5794576742,13355.9242731675,12550.691550864,14350.1266853024,1799.43513443845,805.232722303593
NO2,18521.2139436198,19268.8606545185,17277.3082895071,13964.9283178727,13217.281606974,15208.8339719854,1991.55236501145,747.646710898702
NO3,2358.0751033112,3309.8819677802,2358.0751033112,6986.62511280245,6034.81824833346,6986.62511280245,951.806864468994,951.806864468994
NO4,593.498611203427,1227.008751279,593.498611203427,5487.30982216572,4853.79968209015,5487.30982216572,633.510140075574,633.510140075574
NO5,16973.8111426029,17674.6104557871,15904.838654001,13772.6762360108,13071.8769228266,14841.6487246127,1769.7718017861,700.799313184198
