area,x,y,type,estimation_date
NO1,4.29292433895013,2.67166648410488e-05,mean_price,2022-09-25
NO1,4.29412398474325,3.26583113640687e-05,mean_price,2022-09-25
NO1,4.29532363053637,3.968229932724e-05,mean_price,2022-09-25
NO1,4.2965232763295,4.82624763670907e-05,mean_price,2022-09-25
NO1,4.29772292212262,5.85313778236698e-05,mean_price,2022-09-25
NO1,4.29892256791574,7.0579380133473e-05,mean_price,2022-09-25
NO1,4.30012221370886,8.46344047555377e-05,mean_price,2022-09-25
NO1,4.30132185950199,0.000100941508998666,mean_price,2022-09-25
NO1,4.30252150529511,0.000120146395678859,mean_price,2022-09-25
NO1,4.30372115108823,0.000142891215689226,mean_price,2022-09-25
NO1,4.30492079688135,0.000169065934060438,mean_price,2022-09-25
NO1,4.30612044267448,0.000199038824273363,mean_price,2022-09-25
NO1,4.3073200884676,0.000233199504759093,mean_price,2022-09-25
NO1,4.30851973426072,0.000272189250755511,mean_price,2022-09-25
NO1,4.30971938005384,0.000317841343012236,mean_price,2022-09-25
NO1,4.31091902584696,0.0003694542219944,mean_price,2022-09-25
NO1,4.31211867164009,0.000427561592738489,mean_price,2022-09-25
NO1,4.31331831743321,0.000492721240779614,mean_price,2022-09-25
NO1,4.31451796322633,0.000565515172371945,mean_price,2022-09-25
NO1,4.31571760901945,0.000649056693131866,mean_price,2022-09-25
NO1,4.31691725481258,0.000742439630037565,mean_price,2022-09-25
NO1,4.3181169006057,0.000846040950979769,mean_price,2022-09-25
NO1,4.31931654639882,0.00096060821763781,mean_price,2022-09-25
NO1,4.32051619219194,0.00108691715574396,mean_price,2022-09-25
NO1,4.32171583798507,0.00122831257043296,mean_price,2022-09-25
NO1,4.32291548377819,0.00138548135028319,mean_price,2022-09-25
NO1,4.32411512957131,0.00155777679880198,mean_price,2022-09-25
NO1,4.32531477536443,0.00174617386577641,mean_price,2022-09-25
NO1,4.32651442115756,0.00195168215247674,mean_price,2022-09-25
NO1,4.32771406695068,0.00217728221749862,mean_price,2022-09-25
NO1,4.3289137127438,0.00242695380321916,mean_price,2022-09-25
NO1,4.33011335853692,0.00269809057516047,mean_price,2022-09-25
NO1,4.33131300433005,0.00299193654938307,mean_price,2022-09-25
NO1,4.33251265012317,0.00330977306049596,mean_price,2022-09-25
NO1,4.33371229591629,0.00365328052473321,mean_price,2022-09-25
NO1,4.33491194170941,0.00403209779524595,mean_price,2022-09-25
NO1,4.33611158750254,0.00444029148918045,mean_price,2022-09-25
NO1,4.33731123329566,0.00487935601528475,mean_price,2022-09-25
NO1,4.33851087908878,0.00535081089813335,mean_price,2022-09-25
NO1,4.3397105248819,0.00585619962544973,mean_price,2022-09-25
NO1,4.34091017067503,0.00640608668204821,mean_price,2022-09-25
NO1,4.34210981646815,0.00699702567795807,mean_price,2022-09-25
NO1,4.34330946226127,0.00762808138359313,mean_price,2022-09-25
NO1,4.34450910805439,0.00830086563491695,mean_price,2022-09-25
NO1,4.34570875384752,0.00901698875296149,mean_price,2022-09-25
NO1,4.34690839964064,0.00978522973199967,mean_price,2022-09-25
NO1,4.34810804543376,0.0106084008817507,mean_price,2022-09-25
NO1,4.34930769122688,0.0114810600768159,mean_price,2022-09-25
NO1,4.35050733702001,0.0124047543315446,mean_price,2022-09-25
NO1,4.35170698281313,0.0133810188756357,mean_price,2022-09-25
NO1,4.35290662860625,0.0144151468451905,mean_price,2022-09-25
NO1,4.35410627439937,0.015519144928514,mean_price,2022-09-25
NO1,4.35530592019249,0.0166815877589284,mean_price,2022-09-25
NO1,4.35650556598562,0.0179040048823772,mean_price,2022-09-25
NO1,4.35770521177874,0.0191879470830119,mean_price,2022-09-25
NO1,4.35890485757186,0.0205349891642928,mean_price,2022-09-25
NO1,4.36010450336498,0.0219663107820222,mean_price,2022-09-25
NO1,4.36130414915811,0.023466714957472,mean_price,2022-09-25
NO1,4.36250379495123,0.0250369472181028,mean_price,2022-09-25
NO1,4.36370344074435,0.0266789587310722,mean_price,2022-09-25
NO1,4.36490308653747,0.0283947907200903,mean_price,2022-09-25
NO1,4.3661027323306,0.0302029491021193,mean_price,2022-09-25
NO1,4.36730237812372,0.0320993185004445,mean_price,2022-09-25
NO1,4.36850202391684,0.0340788106516471,mean_price,2022-09-25
NO1,4.36970166970996,0.0361442179414237,mean_price,2022-09-25
NO1,4.37090131550309,0.0382984688166747,mean_price,2022-09-25
NO1,4.37210096129621,0.0405563491708481,mean_price,2022-09-25
NO1,4.37330060708933,0.0429295630098166,mean_price,2022-09-25
NO1,4.37450025288245,0.0454046818435617,mean_price,2022-09-25
NO1,4.37569989867558,0.0479855199980994,mean_price,2022-09-25
NO1,4.3768995444687,0.0506760262676138,mean_price,2022-09-25
NO1,4.37809919026182,0.0534846681176083,mean_price,2022-09-25
NO1,4.37929883605494,0.0564458303754298,mean_price,2022-09-25
NO1,4.38049848184807,0.0595334955025049,mean_price,2022-09-25
NO1,4.38169812764119,0.0627524087218221,mean_price,2022-09-25
NO1,4.38289777343431,0.0661074326486082,mean_price,2022-09-25
NO1,4.38409741922743,0.06960354703698,mean_price,2022-09-25
NO1,4.38529706502055,0.0732860661507912,mean_price,2022-09-25
NO1,4.38649671081368,0.0771319225373134,mean_price,2022-09-25
NO1,4.3876963566068,0.0811397045303865,mean_price,2022-09-25
NO1,4.38889600239992,0.0853151588088062,mean_price,2022-09-25
NO1,4.39009564819304,0.089664161020162,mean_price,2022-09-25
NO1,4.39129529398617,0.0942258135779059,mean_price,2022-09-25
NO1,4.39249493977929,0.0990026760437303,mean_price,2022-09-25
