area,mean_price,compensation,type,estimation_date
NO2,4.69651654710059,3.43936489239053,quantile_68.1%,2022-09-25
NO2,4.69661507008367,3.43945356307531,quantile_68.2%,2022-09-25
NO2,4.69671835848453,3.43954652263608,quantile_68.3%,2022-09-25
NO2,4.6968432027722,3.43965888249498,quantile_68.4%,2022-09-25
NO2,4.69702732940749,3.43982459646674,quantile_68.5%,2022-09-25
NO2,4.69721691328569,3.43999522195712,quantile_68.6%,2022-09-25
NO2,4.69739753158164,3.44015777842347,quantile_68.7%,2022-09-25
NO2,4.69765067049604,3.44038560344644,quantile_68.8%,2022-09-25
NO2,4.69781472563857,3.44053325307471,quantile_68.9%,2022-09-25
NO2,4.69793584498027,3.44064226048224,quantile_69%,2022-09-25
NO2,4.69803233241187,3.44072909917068,quantile_69.1%,2022-09-25
NO2,4.69825704804287,3.44093134323858,quantile_69.2%,2022-09-25
NO2,4.69839648480399,3.44105683632359,quantile_69.3%,2022-09-25
NO2,4.69857737984231,3.44121964185808,quantile_69.4%,2022-09-25
NO2,4.69870896784852,3.44133807106367,quantile_69.5%,2022-09-25
NO2,4.69887999253867,3.4414919932848,quantile_69.6%,2022-09-25
NO2,4.69905170984732,3.44164653886259,quantile_69.7%,2022-09-25
NO2,4.6992403188478,3.44181628696302,quantile_69.8%,2022-09-25
NO2,4.69945117669075,3.44200605902168,quantile_69.9%,2022-09-25
NO2,4.69968899169444,3.44222009252499,quantile_70%,2022-09-25
NO2,4.6998597446856,3.44237377021704,quantile_70.1%,2022-09-25
NO2,4.70002254508179,3.44252029057361,quantile_70.2%,2022-09-25
NO2,4.70024179068581,3.44271761161723,quantile_70.3%,2022-09-25
NO2,4.70038898368047,3.44285008531242,quantile_70.4%,2022-09-25
NO2,4.70061460649726,3.44305314584754,quantile_70.5%,2022-09-25
NO2,4.70080748920878,3.44322674028791,quantile_70.6%,2022-09-25
NO2,4.70102601693503,3.44342341524153,quantile_70.7%,2022-09-25
NO2,4.70115141926076,3.44353627733468,quantile_70.8%,2022-09-25
NO2,4.70138181745255,3.44374363570729,quantile_70.9%,2022-09-25
NO2,4.70159295627816,3.44393366065034,quantile_71%,2022-09-25
NO2,4.70168876384557,3.44401988746102,quantile_71.1%,2022-09-25
NO2,4.70186811898086,3.44418130708277,quantile_71.2%,2022-09-25
NO2,4.70213950017893,3.44442555016104,quantile_71.3%,2022-09-25
NO2,4.70238229298682,3.44464406368814,quantile_71.4%,2022-09-25
NO2,4.7027178753621,3.44494608782589,quantile_71.5%,2022-09-25
NO2,4.70291990899417,3.44512791809475,quantile_71.6%,2022-09-25
NO2,4.70307420561078,3.44526678504971,quantile_71.7%,2022-09-25
NO2,4.70322633769606,3.44540370392646,quantile_71.8%,2022-09-25
NO2,4.70347269027984,3.44562542125186,quantile_71.9%,2022-09-25
NO2,4.70359726261558,3.44573753635402,quantile_72%,2022-09-25
NO2,4.70380697291468,3.44592627562321,quantile_72.1%,2022-09-25
NO2,4.70392854747752,3.44603569272976,quantile_72.2%,2022-09-25
NO2,4.70409719138172,3.44618747224355,quantile_72.3%,2022-09-25
NO2,4.70432881721213,3.44639593549091,quantile_72.4%,2022-09-25
NO2,4.70445227075411,3.4465070436787,quantile_72.5%,2022-09-25
NO2,4.70461588450058,3.44665429605052,quantile_72.6%,2022-09-25
NO2,4.7051175159352,3.44710576434168,quantile_72.7%,2022-09-25
NO2,4.70540635429707,3.44736571886736,quantile_72.8%,2022-09-25
NO2,4.70567274405127,3.44760546964614,quantile_72.9%,2022-09-25
NO2,4.70584210520031,3.44775789468028,quantile_73%,2022-09-25
NO2,4.70604418965409,3.44793977068868,quantile_73.1%,2022-09-25
NO2,4.70620103374171,3.44808093036754,quantile_73.2%,2022-09-25
NO2,4.70635582210717,3.44822023989645,quantile_73.3%,2022-09-25
NO2,4.70654651027436,3.44839185924692,quantile_73.4%,2022-09-25
NO2,4.70688386840812,3.44869548156731,quantile_73.5%,2022-09-25
NO2,4.70701659077434,3.4488149316969,quantile_73.6%,2022-09-25
NO2,4.70721290084681,3.44899161076213,quantile_73.7%,2022-09-25
NO2,4.70735698287854,3.44912128459068,quantile_73.8%,2022-09-25
NO2,4.70756454400637,3.44930808960574,quantile_73.9%,2022-09-25
NO2,4.70779151724107,3.44951236551696,quantile_74%,2022-09-25
NO2,4.70798526262487,3.44968673636238,quantile_74.1%,2022-09-25
NO2,4.70806208786078,3.4497558790747,quantile_74.2%,2022-09-25
NO2,4.70834969004811,3.4500147210433,quantile_74.3%,2022-09-25
NO2,4.70852023714704,3.45016821343233,quantile_74.4%,2022-09-25
NO2,4.70871853936594,3.45034668542935,quantile_74.5%,2022-09-25
NO2,4.70890152929317,3.45051137636385,quantile_74.6%,2022-09-25
NO2,4.70902057606581,3.45061851845923,quantile_74.7%,2022-09-25
NO2,4.70919580685754,3.45077622617178,quantile_74.8%,2022-09-25
NO2,4.70937140673277,3.4509342660595,quantile_74.9%,2022-09-25
NO2,4.7095382037244,3.45108438335196,quantile_75%,2022-09-25
NO2,4.70976728941455,3.4512905604731,quantile_75.1%,2022-09-25
NO2,4.71003611537627,3.45153250383864,quantile_75.2%,2022-09-25
NO2,4.7101950248772,3.45167552238948,quantile_75.3%,2022-09-25
NO2,4.71036806552169,3.45183125896952,quantile_75.4%,2022-09-25
NO2,4.71071477765909,3.45214329989318,quantile_75.5%,2022-09-25
NO2,4.71093976669136,3.45234579002222,quantile_75.6%,2022-09-25
NO2,4.71107532381508,3.45246779143357,quantile_75.7%,2022-09-25
NO2,4.71125673408262,3.45263106067436,quantile_75.8%,2022-09-25
NO2,4.71141593062122,3.4527743375591,quantile_75.9%,2022-09-25
NO2,4.71151177718586,3.45286059946727,quantile_76%,2022-09-25
NO2,4.71174197650566,3.4530677788551,quantile_76.1%,2022-09-25
NO2,4.71186603003447,3.45317942703103,quantile_76.2%,2022-09-25
NO2,4.71200639911245,3.4533057592012,quantile_76.3%,2022-09-25
NO2,4.71215686963668,3.45344118267301,quantile_76.4%,2022-09-25
NO2,4.71232941990997,3.45359647791897,quantile_76.5%,2022-09-25
NO2,4.71248006322081,3.45373205689872,quantile_76.6%,2022-09-25
NO2,4.71263933599856,3.45387540239871,quantile_76.7%,2022-09-25
NO2,4.71279086139473,3.45401177525526,quantile_76.8%,2022-09-25
NO2,4.71296481985761,3.45416833787185,quantile_76.9%,2022-09-25
NO2,4.71310761644787,3.45429685480308,quantile_77%,2022-09-25
NO2,4.71334732319411,3.4545125908747,quantile_77.1%,2022-09-25
NO2,4.71362946779306,3.45476652101375,quantile_77.2%,2022-09-25
NO2,4.71381539641443,3.45493385677299,quantile_77.3%,2022-09-25
NO2,4.71404725298566,3.4551425276871,quantile_77.4%,2022-09-25
NO2,4.7142747965001,3.45534731685009,quantile_77.5%,2022-09-25
NO2,4.71445594101119,3.45551034691007,quantile_77.6%,2022-09-25
NO2,4.71466418688922,3.4556977682003,quantile_77.7%,2022-09-25
NO2,4.71487898417494,3.45589108575745,quantile_77.8%,2022-09-25
NO2,4.71512030197215,3.45610827177494,quantile_77.9%,2022-09-25
NO2,4.71531134859706,3.45628021373735,quantile_78%,2022-09-25
NO2,4.71541825968528,3.45637643371675,quantile_78.1%,2022-09-25
NO2,4.71555973617063,3.45650376255357,quantile_78.2%,2022-09-25
NO2,4.71586006975219,3.45677406277698,quantile_78.3%,2022-09-25
NO2,4.71598524698216,3.45688672228394,quantile_78.4%,2022-09-25
NO2,4.71619705380946,3.45707734842852,quantile_78.5%,2022-09-25
NO2,4.71644304915155,3.4572987442364,quantile_78.6%,2022-09-25
NO2,4.71667527966688,3.45750775170019,quantile_78.7%,2022-09-25
NO2,4.71687031236779,3.45768328113101,quantile_78.8%,2022-09-25
NO2,4.71706326438644,3.45785693794779,quantile_78.9%,2022-09-25
NO2,4.71735413300747,3.45811871970672,quantile_79%,2022-09-25
NO2,4.71758391134397,3.45832552020957,quantile_79.1%,2022-09-25
NO2,4.71787046587864,3.45858341929078,quantile_79.2%,2022-09-25
NO2,4.7180685252355,3.45876167271195,quantile_79.3%,2022-09-25
NO2,4.71826487557496,3.45893838801747,quantile_79.4%,2022-09-25
NO2,4.71844515591745,3.4591006403257,quantile_79.5%,2022-09-25
NO2,4.71859359560212,3.45923423604191,quantile_79.6%,2022-09-25
NO2,4.71886311123001,3.45947680010701,quantile_79.7%,2022-09-25
NO2,4.71910386206647,3.45969347585982,quantile_79.8%,2022-09-25
NO2,4.71924230670698,3.45981807603628,quantile_79.9%,2022-09-25
NO2,4.71946552151,3.460018969359,quantile_80%,2022-09-25
NO2,4.71974707908095,3.46027237117285,quantile_80.1%,2022-09-25
NO2,4.71997896317813,3.46048106686031,quantile_80.2%,2022-09-25
NO2,4.72018541394086,3.46066687254677,quantile_80.3%,2022-09-25
NO2,4.72050577054775,3.46095519349298,quantile_80.4%,2022-09-25
NO2,4.72078395288269,3.46120555759442,quantile_80.5%,2022-09-25
NO2,4.7209781011232,3.46138029101088,quantile_80.6%,2022-09-25
NO2,4.72116743039983,3.46155068735985,quantile_80.7%,2022-09-25
NO2,4.72135434858593,3.46171891372734,quantile_80.8%,2022-09-25
NO2,4.72148736780829,3.46183863102746,quantile_80.9%,2022-09-25
NO2,4.72172974533656,3.46205677080291,quantile_81%,2022-09-25
NO2,4.72188738182567,3.4621986436431,quantile_81.1%,2022-09-25
NO2,4.72208263777248,3.46237437399524,quantile_81.2%,2022-09-25
NO2,4.72244204106513,3.46269783695861,quantile_81.3%,2022-09-25
NO2,4.72262280929177,3.46286052836259,quantile_81.4%,2022-09-25
NO2,4.72275642672506,3.46298078405256,quantile_81.5%,2022-09-25
NO2,4.72305596937732,3.46325037243959,quantile_81.6%,2022-09-25
NO2,4.72328179396327,3.46345361456694,quantile_81.7%,2022-09-25
NO2,4.72365757019981,3.46379181317983,quantile_81.8%,2022-09-25
NO2,4.72387515510121,3.46398763959109,quantile_81.9%,2022-09-25
NO2,4.72406228375259,3.46415605537733,quantile_82%,2022-09-25
NO2,4.72423224299147,3.46430901869232,quantile_82.1%,2022-09-25
NO2,4.72448539131771,3.46453685218594,quantile_82.2%,2022-09-25
NO2,4.72475494512563,3.46477945061307,quantile_82.3%,2022-09-25
NO2,4.7250517029256,3.46504653263304,quantile_82.4%,2022-09-25
NO2,4.72529212886985,3.46526291598286,quantile_82.5%,2022-09-25
NO2,4.72556619761991,3.46550957785792,quantile_82.6%,2022-09-25
NO2,4.72583821221802,3.46575439099622,quantile_82.7%,2022-09-25
NO2,4.72601229891487,3.46591106902339,quantile_82.8%,2022-09-25
NO2,4.72640268551037,3.46626241695934,quantile_82.9%,2022-09-25
NO2,4.72667541186674,3.46650787068007,quantile_83%,2022-09-25
NO2,4.72683824939921,3.46665442445929,quantile_83.1%,2022-09-25
NO2,4.72713854270542,3.46692468843488,quantile_83.2%,2022-09-25
NO2,4.72735142251775,3.46711628026597,quantile_83.3%,2022-09-25
NO2,4.72750487406562,3.46725438665906,quantile_83.4%,2022-09-25
NO2,4.72772656543312,3.46745390888981,quantile_83.5%,2022-09-25
NO2,4.72798005459094,3.46768204913185,quantile_83.6%,2022-09-25
NO2,4.72827574835742,3.46794817352167,quantile_83.7%,2022-09-25
NO2,4.7285361473812,3.46818253264308,quantile_83.8%,2022-09-25
NO2,4.72884529484456,3.4684607653601,quantile_83.9%,2022-09-25
NO2,4.72905335453896,3.46864801908507,quantile_84%,2022-09-25
NO2,4.72918973222677,3.46877075900409,quantile_84.1%,2022-09-25
NO2,4.72956662435028,3.46910996191525,quantile_84.2%,2022-09-25
NO2,4.72972692542844,3.4692542328856,quantile_84.3%,2022-09-25
NO2,4.73002315457093,3.46952083911384,quantile_84.4%,2022-09-25
NO2,4.73027496225837,3.46974746603253,quantile_84.5%,2022-09-25
