area,date,start_hour,price,compensation,filtered_price
NO2,2022-11-30,20,4.7247875,0.481182984375,4.243604515625
NO2,2022-11-30,21,4.141775,0.481182984375,3.660592015625
NO2,2022-11-30,22,3.829225,0.481182984375,3.348042015625
NO2,2022-11-30,23,3.43,0.481182984375,2.948817015625
NO2,2022-12-01,0,3.4864625,2.23403851814516,1.25242398185484
NO2,2022-12-01,1,3.437175,2.23403851814516,1.20313648185484
NO2,2022-12-01,2,3.4681,2.23403851814516,1.23406148185484
NO2,2022-12-01,3,3.418175,2.23403851814516,1.18413648185484
NO2,2022-12-01,4,3.3821,2.23403851814516,1.14806148185484
NO2,2022-12-01,5,3.510075,2.23403851814516,1.27603648185484
NO2,2022-12-01,6,3.617,2.23403851814516,1.38296148185484
NO2,2022-12-01,7,4.6639375,2.23403851814516,2.42989898185484
NO2,2022-12-01,8,5.1594125,2.23403851814516,2.92537398185484
NO2,2022-12-01,9,5.367875,2.23403851814516,3.13383648185484
NO2,2022-12-01,10,4.73415,2.23403851814516,2.50011148185484
NO2,2022-12-01,11,4.5211875,2.23403851814516,2.28714898185484
NO2,2022-12-01,12,4.5173375,2.23403851814516,2.28329898185484
NO2,2022-12-01,13,4.5973125,2.23403851814516,2.36327398185484
NO2,2022-12-01,14,4.739025,2.23403851814516,2.50498648185484
NO2,2022-12-01,15,5.1193625,2.23403851814516,2.88532398185484
NO2,2022-12-01,16,5.1417,2.23403851814516,2.90766148185484
NO2,2022-12-01,17,6.014825,2.23403851814516,3.78078648185484
NO2,2022-12-01,18,4.7797125,2.23403851814516,2.54567398185484
NO2,2022-12-01,19,4.672275,2.23403851814516,2.43823648185484
NO2,2022-12-01,20,4.7128375,2.23403851814516,2.47879898185484
NO2,2022-12-01,21,4.2592,2.23403851814516,2.02516148185484
NO2,2022-12-01,22,3.7894,2.23403851814516,1.55536148185484
NO2,2022-12-01,23,3.7873375,2.23403851814516,1.55329898185484
NO2,2022-12-02,0,3.78465,2.23403851814516,1.55061148185484
NO2,2022-12-02,1,3.656525,2.23403851814516,1.42248648185484
NO2,2022-12-02,2,3.7099,2.23403851814516,1.47586148185484
NO2,2022-12-02,3,3.70785,2.23403851814516,1.47381148185484
NO2,2022-12-02,4,3.7261625,2.23403851814516,1.49212398185484
NO2,2022-12-02,5,3.7454875,2.23403851814516,1.51144898185484
NO2,2022-12-02,6,3.71335,2.23403851814516,1.47931148185484
NO2,2022-12-02,7,4.5758375,2.23403851814516,2.34179898185484
