postnr,poststed,kommune,GE HEALTHCARE AS,ELKEM ASA,GLENCORE NIKKELVERK AS,FIVEN NORGE AS,HUNTONITAS,N01 UTILITIES AS,3B FIBERGLASS NORWAY AS,TITANIA AS,FIVEN NORGE AS_dup_1,VAFOS PULP AS,JÆREN EVERK AS,ENIDA AS,VESTMAR NETT AS,NORCEM AS,NORCEM AS_dup_1,KE NETT AS,JOTUN A/S,JOTUN A/S_dup_1,INEOS BAMBLE AS,JOTUN A/S_dup_2,INOVYN NORGE AS,JOTUN A/S_dup_3,AVINOR AS,HERØYA NETT AS,FREDRIKSTAD INNOVASJONSPARK AS,FREDRIKSTAD INNOVASJONSPARK AS_dup_1,FREDRIKSTAD INNOVASJONSPARK AS_dup_2,EFD INDUKSJON AS,NORDIC PAPER AS,BORREGAARD AS,BORREGAARD AS_dup_1,NORGESNETT AS,ESSO NORGE AS AVD RAFF. SLAGEN OG VALLØY,FORSVARSBYGG,FORSVARSBYGG_dup_1,DE NETT AS,RAKKESTAD ENERGI AS,EQUINOR ASA,LNETT AS,FØRE AS,HYDRO ALUMINIUM AS,TINFOS AS,Kongsberg Teknologipark AS,Kongsberg Teknologipark AS_dup_1,ASKER NETT AS,Kongsberg Teknologipark AS_dup_2,AIBEL AS AVD HAUGESUND,AIBEL AS AVD HAUGESUND_dup_1,LEDE AS,NORGESNETT AS_dup_1,GLITRE ENERGI NETT AS,AGDER ENERGI NETT AS,NORGESNETT AS_dup_2,AKTIESELSKABET SAUDEFALDENE AS,EL-VERKET HØLAND AS,NORGESNETT AS_dup_3,ELVENETT AS,LEDE AS_dup_1,GLITRE ENERGI NETT AS_dup_1,EVERKET AS,GLITRE ENERGI NETT AS_dup_2,BKK NETT AS,KVÆRNER AS LOKASJON STORD,Aktieselskabet Saudefaldene,VEST-TELEMARK KRAFTLAG NETT AS,BØMLO KRAFTNETT AS,ROLLAG ELEKTRISITETSVERK AS,RK NETT AS,FAGNE AS,STANNUM AS,BOLIDEN ODDA AS,TIZIR TITANIUM & IRON AS,NOREFJELL NETT AS,MIDTNETT AS,ODDA ENERGI NETT AS,HAVNETT AS,UVDAL KRAFTFORSYNING SA,GLITRE ENERGI NETT AS_dup_3,NORE ENERGI AS,LYSNA AS,ELKEM ASA AVD BJØLVEFOSSEN,FØIE AS,SIMONSVIKEN NÆRINGSPARK AS,KVAM ENERGI NETT AS,STANGE ENERGI NETT AS,RAUFOSS NÆRINGSPARK,GLITRE ENERGI NETT AS_dup_4,INDRE HORDALAND KRAFTNETT AS,EQUINOR ASA_dup_1,GLITRE ENERGI NETT AS_dup_5,SØR AURDAL ENERGI AS,NORGESNETT AS_dup_4,HYDRO ENERGI AS,HALLINGDAL KRAFTNETT A/S,EQUINOR ASA_dup_2,VONETT AS,HEMSIL NETT AS,ETNA NETT AS,MODALEN KRAFTLAG SA,HYDRO ALUMINIUM AS HYDRO ENERGI SOGN,HYDRO ALUMINIUM AS HYDRO ENERGI SOGN_dup_1,HYDRO ALUMINIUM AS HYDRO ENERGI SOGN_dup_2,HYDRO ALUMINIUM AS_dup_1,GRIUG AS,VANG ENERGIVERK AS,STRAUMNETT AS,SYGNIR AS,BKK NETT AS_dup_1,VEVIG AS,BREHEIM NETT AS,SKIAKERNETT AS,ELVIA AS,FJELLNETT AS,TINDRA NETT AS,MØRENETT AS,STRAUMEN NETT AS,LINJA AS,KLIVE AS,RØROS E-VERK NETT AS,ROMSDALSNETT AS,A/S Norske Shell,SUNETT AS,MØRENETT AS_dup_1,NORDVEST NETT AS,S-NETT AS,SANDØY NETT AS,NORGESMØLLENE AS,ELKEM ASA THAMSHAVN,NTNU,NTNU_dup_1,NTNU_dup_2,RANHEIM PAPER & BOARD AS,NTNU_dup_3,ELINETT AS,FORSVARSBYGG_dup_2,EQUINOR ASA_dup_3,NETTSELSKAPET AS,NORSKE SKOG SKOGN AS,FORSVARSBYGG_dup_3,MELLOM AS,NETTSELSKAPET AS_dup_1,TENSIO TS AS,TENSIO TN AS,BINDAL KRAFTLAG SA,ALCOA NORWAY ANS,MIP INDUSTRINETT AS,MIP INDUSTRINETT AS_dup_1,MIP INDUSTRINETT AS_dup_2,MIP INDUSTRINETT AS_dup_3,MIP INDUSTRINETT AS_dup_4,MIP INDUSTRINETT AS_dup_5,LINEA AS,YARA NORGE AS,ARVA AS,FORSVARSBYGG_dup_4,MELØY NETT AS,ISALTEN NETT AS,ARVA AS_dup_1,NORCEM AS_dup_2,NORCEM AS_dup_3,KYSTNETT AS,LKAB NORGE AS,ELMEA AS,TROLLFJORD KRAFT AS,VESTALL AS,HÅLOGALAND KRAFT NETT AS,ANDØY ENERGI NETT AS,ALUT AS,ARVA AS_dup_2,VISSI AS,EQUINOR ASA_dup_4,LUCERNA AS,BARENTS NETT AS,NETTINORD AS,LUOSTEJOK NETT AS,LEGA NETT AS
7020,TRONDHEIM,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24254909.1487507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7098,SAUPSTAD,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287602.695099626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7074,SPONGDAL,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31024413.3890012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2322,RIDABU,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856.52269251729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29315333.3836581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2323,INGEBERG,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44727565.6353493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9140,REBBENES,5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573225277.878447,0,0,0,0,0,0,0
5960,DALSØYRA,4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199956914.682999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,SARPSBORG,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872666.874150097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2607,VINGROM,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851.59524522333,0,0,0,0,0,0,0,0,0,0,0,0,0,122251090.145959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8488,NØSS,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11901.2853741646,0,78427213.0011249,0,0,0,0,0,0,0,0,0
