date,Nettselskap,fylkeNr,energileddInk,energileddEks,time_fom,time_tom
2024-11-04,JÆREN EVERK AS,11,38.05,14,22,5
2024-11-04,KE NETT AS,11,53.05,26,6,21
2024-11-04,KE NETT AS,11,38.05,14,22,5
2024-11-04,KLIVE AS,34,39.71,15.33,0,23
2024-11-04,KVAM ENERGI NETT AS,46,49.93,23.5,6,21
2024-11-04,KVAM ENERGI NETT AS,46,39.93,15.5,22,5
2024-11-04,KYSTNETT AS,18,33.44,17,0,23
2024-11-04,LEDE AS,33,51.03,24.38,0,23
2024-11-04,LEDE AS,39,51.03,24.38,0,23
2024-11-04,LEDE AS,40,51.03,24.38,0,23
2024-11-04,LEGA NETT AS,56,18.46,18.46,7,21
2024-11-04,LEGA NETT AS,56,15.46,15.46,22,6
2024-11-04,LINEA AS,18,42.04,25.6,6,21
2024-11-04,LINEA AS,18,33.04,16.6,22,5
2024-11-04,LINJA AS,15,49.78,23.38,6,21
2024-11-04,LINJA AS,15,41.03,16.38,22,5
2024-11-04,LINJA AS,46,55.84,28.23,6,21
2024-11-04,LINJA AS,46,47.33,21.42,22,5
2024-11-04,LNETT AS,11,52.39,25.47,6,21
2024-11-04,LNETT AS,11,44.39,19.07,22,5
2024-11-04,LUCERNA AS,56,19.45,19.45,6,21
2024-11-04,LUCERNA AS,56,13.45,13.45,22,5
2024-11-04,LUOSTEJOK NETT AS,56,22.3,22.3,0,23
2024-11-04,LYSNA AS,46,60.55,32,6,21
2024-11-04,LYSNA AS,46,50.55,24,22,5
2024-11-04,MELLOM AS,15,55.99,28.35,6,21
2024-11-04,MELLOM AS,15,49.74,23.35,22,5
2024-11-04,MELØY NETT AS,18,39.74,23.3,6,21
2024-11-04,MELØY NETT AS,18,34.74,18.3,22,5
2024-11-04,MIDTNETT AS,33,60.55,32,6,21
2024-11-04,MIDTNETT AS,33,54.3,27,22,5
2024-11-04,MODALEN KRAFTLAG SA,46,55.51,27.97,0,23
2024-11-04,NETTINORD AS,56,26.89,26.89,6,21
2024-11-04,NETTINORD AS,56,23.89,23.89,22,5
2024-11-04,NETTSELSKAPET AS,50,48.68,22.5,6,21
2024-11-04,NETTSELSKAPET AS,50,35.17,11.7,22,5
2024-11-04,NORANETT ANDØY AS,18,43.94,27.5,0,23
2024-11-04,NORANETT ANDØY AS,55,43.94,27.5,0,23
2024-11-04,NORANETT AS,18,18.24,1.8,0,23
2024-11-04,NORANETT AS,55,18.24,1.8,0,23
2024-11-04,NORANETT HADSEL AS,18,41.44,25,6,21
2024-11-04,NORANETT HADSEL AS,18,36.44,20,22,5
2024-11-04,NORDVEST NETT AS,15,51.31,24.61,6,21
2024-11-04,NORDVEST NETT AS,15,43.81,18.61,22,5
2024-11-04,NOREFJELL NETT AS,33,44.36,19.05,6,21
2024-11-04,NOREFJELL NETT AS,33,36.49,12.75,22,5
2024-11-04,NORGESNETT AS,31,43.83,18.62,6,21
2024-11-04,NORGESNETT AS,31,36.24,12.55,22,5
2024-11-04,NORGESNETT AS,32,43.83,18.62,6,21
2024-11-04,NORGESNETT AS,32,36.24,12.55,22,5
2024-11-04,NORGESNETT AS,46,43.83,18.62,6,21
2024-11-04,NORGESNETT AS,46,36.24,12.55,22,5
2024-11-04,RAKKESTAD ENERGI AS,31,54.3,27,6,21
2024-11-04,RAKKESTAD ENERGI AS,31,48.05,22,22,5
2024-11-04,RK NETT AS,40,51.36,24.65,0,23
2024-11-04,ROLLAG NETT AS,33,49.66,23.29,6,21
2024-11-04,ROLLAG NETT AS,33,39.66,15.29,22,5
2024-11-04,ROMSDALSNETT AS,15,56.61,28.85,6,21
2024-11-04,ROMSDALSNETT AS,15,44.11,18.85,22,5
2024-11-04,RØROS E-VERK NETT AS,34,46.55,20.8,6,21
2024-11-04,RØROS E-VERK NETT AS,34,38.55,14.4,22,5
2024-11-04,RØROS E-VERK NETT AS,50,46.55,20.8,6,21
2024-11-04,RØROS E-VERK NETT AS,50,38.55,14.4,22,5
2024-11-04,S-NETT AS,15,54.8,27.4,6,21
2024-11-04,S-NETT AS,15,48.56,22.41,22,5
2024-11-04,S-NETT AS,50,54.8,27.4,6,21
2024-11-04,S-NETT AS,50,48.56,22.41,22,5
2024-11-04,STANNUM AS,40,55.96,28.33,6,21
2024-11-04,STANNUM AS,40,52.21,25.33,22,5
2024-11-04,STRAUMEN NETT AS,15,44.68,19.3,0,23
2024-11-04,STRAUMNETT AS,46,56.56,28.81,6,21
2024-11-04,STRAUMNETT AS,46,50.31,23.81,22,5
2024-11-04,SUNETT AS,15,,,0,23
2024-11-04,SYGNIR AS,34,44.04,18.79,0,23
2024-11-04,SYGNIR AS,46,44.04,18.79,0,23
2024-11-04,SØR AURDAL ENERGI AS,34,58.7,30.52,0,23
2024-11-04,TELEMARK NETT AS,40,55.43,27.9,0,23
2024-11-04,TENSIO TN AS,18,45.94,29.5,6,21
2024-11-04,TENSIO TN AS,18,31.74,15.3,22,5
2024-11-04,TENSIO TN AS,50,57.43,29.5,6,21
2024-11-04,TENSIO TN AS,50,39.68,15.3,22,5
2024-11-04,TENSIO TS AS,34,50.18,23.7,6,21
2024-11-04,TENSIO TS AS,34,35.92,12.3,22,5
2024-11-04,TENSIO TS AS,50,50.18,23.7,6,21
2024-11-04,TENSIO TS AS,50,35.92,12.3,22,5
2024-11-04,TINFOS AS,40,44.3,19,0,23
2024-11-04,TINFOS AS,42,44.3,19,0,23
