Fylke,Nettselskap,Energiledd,pristype
Troms og Finnmark,LEGA NETT AS,15.5,Dag
Troms og Finnmark,LEGA NETT AS,15.5,Natt
Troms og Finnmark,LUCERNA AS,18.54,Dag
Troms og Finnmark,LUCERNA AS,13.54,Natt
Troms og Finnmark,LUOSTEJOK NETT AS,7.5,Dag
Troms og Finnmark,LUOSTEJOK NETT AS,7.5,Natt
Troms og Finnmark,NETTINORD AS,16.4,Dag
Troms og Finnmark,NETTINORD AS,16.4,Natt
Troms og Finnmark,TINFOS AS,15,Dag
Troms og Finnmark,TINFOS AS,15,Natt
Troms og Finnmark,VESTALL AS,27.31,Dag
Troms og Finnmark,VESTALL AS,27.31,Natt
Troms og Finnmark,VISSI AS,22,Dag
Troms og Finnmark,VISSI AS,10,Natt
Trøndelag,FJELLNETT AS,28.75,Dag
Trøndelag,FJELLNETT AS,28.75,Natt
Trøndelag,NETTSELSKAPET AS,40.63,Dag
Trøndelag,NETTSELSKAPET AS,30.51,Natt
Trøndelag,RØROS E-VERK NETT AS,50.26,Dag
Trøndelag,RØROS E-VERK NETT AS,42.26,Natt
Trøndelag,S-NETT AS,49.46,Dag
Trøndelag,S-NETT AS,34.98,Natt
Trøndelag,TENSIO TN AS,31.38,Dag
Trøndelag,TENSIO TN AS,31.38,Natt
Trøndelag,TENSIO TS AS,36.26,Dag
Trøndelag,TENSIO TS AS,28.38,Natt
Vestfold og Telemark,AGDER ENERGI NETT AS,52.51,Dag
Vestfold og Telemark,AGDER ENERGI NETT AS,42.51,Natt
Vestfold og Telemark,DE NETT AS,59.26,Dag
Vestfold og Telemark,DE NETT AS,55.51,Natt
Vestfold og Telemark,EVERKET AS,34.26,Dag
Vestfold og Telemark,EVERKET AS,34.26,Natt
Vestfold og Telemark,FØRE AS,46.76,Dag
Vestfold og Telemark,FØRE AS,40.51,Natt
Vestfold og Telemark,LEDE AS,40.51,Dag
Vestfold og Telemark,LEDE AS,40.51,Natt
Vestfold og Telemark,RK NETT AS,56.76,Dag
Vestfold og Telemark,RK NETT AS,56.76,Natt
Vestfold og Telemark,STANNUM AS,45.36,Dag
Vestfold og Telemark,STANNUM AS,41.61,Natt
Vestfold og Telemark,TINFOS AS,38.01,Dag
Vestfold og Telemark,TINFOS AS,38.01,Natt
Vestfold og Telemark,VEST-TELEMARK KRAFTLAG NETT AS,51.76,Dag
Vestfold og Telemark,VEST-TELEMARK KRAFTLAG NETT AS,51.76,Natt
Vestfold og Telemark,VESTMAR NETT AS,38.81,Dag
Vestfold og Telemark,VESTMAR NETT AS,38.81,Natt
Vestland,BKK NETT AS,49.9,Dag
Vestland,BKK NETT AS,39.9,Natt
Vestland,BREHEIM NETT AS,38.63,Dag
Vestland,BREHEIM NETT AS,28.63,Natt
Vestland,BØMLO KRAFTNETT AS,50.58,Dag
Vestland,BØMLO KRAFTNETT AS,44.33,Natt
Vestland,FAGNE AS,51.51,Dag
Vestland,FAGNE AS,41.51,Natt
Vestland,GLITRE ENERGI NETT AS,47.25,Dag
Vestland,GLITRE ENERGI NETT AS,35.25,Natt
Vestland,HAVNETT AS,57.67,Dag
Vestland,HAVNETT AS,57.67,Natt
Vestland,INDRE HORDALAND KRAFTNETT AS,54.76,Dag
Vestland,INDRE HORDALAND KRAFTNETT AS,54.76,Natt
Vestland,KVAM ENERGI NETT AS,51.22,Dag
Vestland,KVAM ENERGI NETT AS,41.22,Natt
Vestland,LINJA AS,44.26,Dag
Vestland,LINJA AS,40.51,Natt
Vestland,LYSNA AS,58.01,Dag
Vestland,LYSNA AS,48.01,Natt
Vestland,MODALEN KRAFTLAG SA,40.51,Dag
Vestland,MODALEN KRAFTLAG SA,40.51,Natt
Vestland,MØRENETT AS,40.51,Dag
Vestland,MØRENETT AS,33.01,Natt
Vestland,NORGESNETT AS,56.76,Dag
Vestland,NORGESNETT AS,44.26,Natt
Vestland,ODDA ENERGI NETT AS,51.51,Dag
Vestland,ODDA ENERGI NETT AS,41.51,Natt
Vestland,SKIAKERNETT AS,38.01,Dag
Vestland,SKIAKERNETT AS,38.01,Natt
Vestland,STRAUMNETT AS,69.9,Dag
Vestland,STRAUMNETT AS,64.03,Natt
Vestland,SYGNIR AS,65.76,Dag
Vestland,SYGNIR AS,65.76,Natt
Vestland,VANG ENERGIVERK AS,37.26,Dag
Vestland,VANG ENERGIVERK AS,37.26,Natt
Vestland,VONETT AS,69.13,Dag
Vestland,VONETT AS,62.88,Natt
Viken,ASKER NETT AS,50.46,Dag
Viken,ASKER NETT AS,40.42,Natt
Viken,EL-VERKET HØLAND AS,54.26,Dag
Viken,EL-VERKET HØLAND AS,48.01,Natt
Viken,ELVENETT AS,51.13,Dag
Viken,ELVENETT AS,44.88,Natt
Viken,ELVIA AS,43.1,Dag
Viken,ELVIA AS,36.85,Natt
Viken,FØIE AS,50.13,Dag
Viken,FØIE AS,40.38,Natt
Viken,GLITRE ENERGI NETT AS,47.25,Dag
Viken,GLITRE ENERGI NETT AS,35.25,Natt
Viken,HALLINGDAL KRAFTNETT AS,46.47,Dag
Viken,HALLINGDAL KRAFTNETT AS,40.22,Natt
Viken,HEMSIL NETT AS,46.76,Dag
Viken,HEMSIL NETT AS,40.51,Natt
Viken,LEDE AS,40.51,Dag
Viken,LEDE AS,40.51,Natt
Viken,MIDTNETT AS,45.51,Dag
Viken,MIDTNETT AS,35.51,Natt
Viken,NOREFJELL NETT AS,45.72,Dag
Viken,NOREFJELL NETT AS,36.97,Natt
Viken,NORGESNETT AS,56.76,Dag
Viken,NORGESNETT AS,44.26,Natt
Viken,RAKKESTAD ENERGI AS,54.76,Dag
Viken,RAKKESTAD ENERGI AS,48.51,Natt
Viken,ROLLAG ELEKTRISITETSVERK AS,48.3,Dag
Viken,ROLLAG ELEKTRISITETSVERK AS,38.3,Natt
Viken,UVDAL KRAFTFORSYNING SA,34.51,Dag
Viken,UVDAL KRAFTFORSYNING SA,34.51,Natt
