Nettselskap,Kapasitetsledd,Kapasitetsledd fra kW,Kapasitetsledd til kW,Grunnlag effektrinn
BKK NETT AS,781.25,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
BKK NETT AS,1500,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
BKK NETT AS,2218.75,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
BKK NETT AS,2937.5,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
BKK NETT AS,5812.5,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,225,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,675,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,900,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,1138.02,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,2263.02,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,3400,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,4538.02,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,6800,100,150,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,9075,150,200,Topp 3 forbrukstopper innenfor 1 siste måneder
BREHEIM NETT AS,13612.91,200,9999,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,300,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,400,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,500,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,600,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,750,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,900,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,2100,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,3100,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,4100,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
BØMLO KRAFTNETT AS,5100,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
HAVNETT AS,350,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
HAVNETT AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
HAVNETT AS,550,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
HAVNETT AS,650,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
HAVNETT AS,750,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,260,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,320,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,580,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,710,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,840,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
INDRE HORDALAND KRAFTNETT AS,970,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,275,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,375,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,575,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,875,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,1050,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
KVAM ENERGI NETT AS,1250,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,312.5,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,375,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,437.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,500,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,562.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
LYSNA AS,625,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
MODALEN KRAFTLAG SA,171.87,1,1,Sikringsstørrelse
NORGESNETT AS,140.62,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,281.25,2.1,5,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,458.33,5.1,10,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,822.5,10.1,15,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,1092.5,15.1,20,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,1355,20.1,25,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,2100,25.1,50,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,3287.5,50.1,75,Topp 3 forbrukstopper innenfor 1 siste måneder
NORGESNETT AS,4475,75.1,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,310,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,410,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,510,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,610,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,710,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,2000,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,3000,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,4000,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ODDA ENERGI NETT AS,5000,100,999,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,250.31,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,300,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,325.31,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,349.68,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,375,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,437.81,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,475.31,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,525,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,575.62,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
STRAUMNETT AS,625.31,100,130,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,209.16,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,271.97,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,334.68,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,460.2,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,585.72,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,711.25,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,878.64,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,1045.93,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,1213.33,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
VONETT AS,1255.1,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,286.25,0,1.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,372.5,2,4.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,515,5,9.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,801.25,10,14.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,1088.75,15,19.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,1713.33,20,24.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,2147.5,25,49.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,2863.75,50,74.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,3722.5,75,99.99,Topp 3 forbrukstopper innenfor 1 siste måneder
ASKER NETT AS,6586.25,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,275,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,375,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,525,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,725,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,1225,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,2100,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,3287,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,4475,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
EL-VERKET HØLAND AS,7252,100,9999,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,305,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,366.25,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,397.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,427.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,457.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,533.75,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVENETT AS,580,25,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,135,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,180,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,600,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,750,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,900,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,1050,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,1200,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
FØIE AS,1650,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,288.75,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,350,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,458.75,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,568.75,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,678.75,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,788.75,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,898.75,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,1007.5,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,1040,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
HALLINGDAL KRAFTNETT AS,1068.75,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,317.5,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,385,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,505,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,626.25,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,746.25,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,867.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,988.75,25,30,Topp 3 forbrukstopper innenfor 1 siste måneder
HEMSIL NETT AS,1108.75,30,99999,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,200,0,4.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,300,5,9.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,450,10,14.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,675,15,19.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,1012.5,20,24.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,1518.75,25,49.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,2278.12,50,74.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,3417.18,75,99.99,Topp 3 forbrukstopper innenfor 1 siste måneder
MIDTNETT AS,5125.83,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,227.5,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,295,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,408.75,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,613.75,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,795,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,977.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,1591.25,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,2386.25,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,3181.25,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
NOREFJELL NETT AS,4545,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,275,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,375,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,450,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,656.25,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,843.75,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,1037.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,1687.5,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,2500,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,3750,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,5000,100,150,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,6250,150,200,Topp 3 forbrukstopper innenfor 1 siste måneder
RAKKESTAD ENERGI AS,7500,200,999,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,392.07,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,482.25,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,612.62,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,765.77,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,957.21,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,1960.38,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,3136.62,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,5489.08,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ROLLAG ELEKTRISITETSVERK AS,7841.55,100,33334,Topp 3 forbrukstopper innenfor 1 siste måneder
UVDAL KRAFTFORSYNING SA,291.66,0,40,Sikringsstørrelse
