prisomraade,nettselskap,konsesjonType,eierType,area_nettselskap_prisomraader,id_nettselskap_prisomraader,postnr,poststed,kommune,area_postnr_prisomraader,id_postnr_prisomraader,area_postnr_nettselskap_prisomraader,id_postnr_nettselskap_prisomraader
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0483,OSLO,0301,21114.6916500349,60,21114.6916500349,1486
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0469,OSLO,0301,101863.70429997,61,101863.70429997,1487
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0459,OSLO,0301,39751.723200025,62,39751.723200025,1488
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0594,OSLO,0301,330844.961850012,63,330844.961850012,1489
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0589,OSLO,0301,389191.04210023,64,389191.04210023,1490
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0577,OSLO,0301,6729.77660003584,65,6729.77660003584,1491
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0566,OSLO,0301,2679.29480001261,66,2679.29480001261,1492
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0559,OSLO,0301,3805.15930000227,67,3805.15930000227,1493
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0557,OSLO,0301,20468.0414000209,68,20468.0414000209,1494
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0553,OSLO,0301,80545.8842499421,69,80545.8842499421,1495
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1071,OSLO,0301,95188.0000000224,70,95188.0000000224,1496
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1064,OSLO,0301,168461.428050034,71,168461.428050034,1497
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1083,OSLO,0301,376639.321850131,72,376639.321850131,1498
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1188,OSLO,0301,595489.003400147,73,595489.003400147,1499
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0688,OSLO,0301,271184.847649984,74,271184.847649984,1500
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0684,OSLO,0301,86481.4400500641,75,86481.4400500641,1501
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0677,OSLO,0301,169714.647300054,76,169714.647300054,1502
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0673,OSLO,0301,655716.67494986,77,655716.67494986,1503
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0657,OSLO,0301,341908.772999931,78,341908.772999931,1504
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0652,OSLO,0301,48462.8289499921,79,48462.8289499921,1505
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1189,OSLO,0301,42009.1755001061,80,42009.1755001061,1506
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1156,OSLO,0301,331637.248299994,81,331637.248299994,1507
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1154,OSLO,0301,373291.62204998,82,373291.62204998,1508
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1285,OSLO,0301,1108685.61530018,83,1108685.61530018,1509
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1286,OSLO,0301,82898.9157999028,84,82898.9157999028,1510
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1258,OSLO,0301,274816.056249954,85,274816.056249954,1511
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1255,OSLO,0301,73213.1845500036,86,73213.1845500036,1512
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0265,OSLO,0301,7064.06420001621,87,7064.06420001621,1513
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,0369,OSLO,0301,599917.007800236,88,599917.007800236,1514
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1414,TROLLÅSEN,3020,1538032.89610013,89,1538032.89610013,1515
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1065,OSLO,0301,211747.738300018,90,211747.738300018,1516
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1295,OSLO,0301,1200410.9461999,91,1192838.18158258,1517
NO 1,ELVIA AS,VANLIG,EVERK,28290469715.021,58,1259,OSLO,0301,275387.748000056,92,275387.748000056,1518
NO 1,KLIVE AS,VANLIG,EVERK,8316014138.82813,64,2443,DREVSJØ,3425,665476066.354874,34,204.679892775166,1532
