area,date,start_hour,price,compensation,filtered_price
NO1,2023-09-01,0,0.117775,0,0.117775
NO1,2023-09-01,1,0.1018375,0,0.1018375
NO1,2023-09-01,2,0.0801125,0,0.0801125
NO1,2023-09-01,3,0.045775,0,0.045775
NO1,2023-09-01,4,0.0441875,0,0.0441875
NO1,2023-09-01,5,0.0165125,0,0.0165125
NO1,2023-09-01,6,0.1429875,0,0.1429875
NO1,2023-09-01,7,0.1437125,0,0.1437125
NO1,2023-09-01,8,0.1224125,0,0.1224125
NO1,2023-09-01,9,0.1466,0,0.1466
NO1,2023-09-01,10,0.14675,0,0.14675
NO1,2023-09-01,11,0.1466,0,0.1466
NO1,2023-09-01,12,0.14385,0,0.14385
NO1,2023-09-01,13,0.1437125,0,0.1437125
NO1,2023-09-01,14,0.1324125,0,0.1324125
NO1,2023-09-01,15,0.1380625,0,0.1380625
NO1,2023-09-01,16,0.130525,0,0.130525
NO1,2023-09-01,17,0.1386375,0,0.1386375
NO1,2023-09-01,18,0.14675,0,0.14675
NO1,2023-09-01,19,0.1437125,0,0.1437125
NO1,2023-09-01,20,0.1316875,0,0.1316875
NO1,2023-09-01,21,0.1017,0,0.1017
NO1,2023-09-01,22,0.1429875,0,0.1429875
NO1,2023-09-01,23,0.1017,0,0.1017
NO2,2023-09-01,0,1.150675,0.2143575,0.9363175
NO2,2023-09-01,1,1.15125,0.214875,0.936375
NO2,2023-09-01,2,1.149375,0.2131875,0.9361875
NO2,2023-09-01,3,1.1496625,0.21344625,0.93621625
NO2,2023-09-01,4,1.1516875,0.21526875,0.93641875
NO2,2023-09-01,5,1.1556,0.21879,0.93681
NO2,2023-09-01,6,1.1829875,0.24343875,0.93954875
NO2,2023-09-01,7,1.2402,0.29493,0.94527
NO2,2023-09-01,8,1.240925,0.2955825,0.9453425
NO2,2023-09-01,9,1.2406375,0.29532375,0.94531375
NO2,2023-09-01,10,1.2405,0.2952,0.9453
NO2,2023-09-01,11,1.2306375,0.28632375,0.94431375
NO2,2023-09-01,12,1.2179,0.27486,0.94304
NO2,2023-09-01,13,1.2154375,0.27264375,0.94279375
NO2,2023-09-01,14,1.2121,0.26964,0.94246
NO2,2023-09-01,15,1.1912375,0.25086375,0.94037375
NO2,2023-09-01,16,1.2180375,0.27498375,0.94305375
NO2,2023-09-01,17,1.21775,0.274725,0.943025
NO2,2023-09-01,18,1.1589375,0.22179375,0.93714375
NO2,2023-09-01,19,1.15835,0.221265,0.937085
NO2,2023-09-01,20,1.1574875,0.22048875,0.93699875
