date,Nettselskap,fylkeNr,energileddInk,energileddEks,time_fom,time_tom
2023-11-20,HÅLOGALAND KRAFT NETT AS,54,17.64,1.8,0,23
2023-11-20,INDRE HORDALAND KRAFTNETT AS,46,60.35,32.44,0,23
2023-11-20,ISALTEN NETT AS,18,28.34,12.5,6,21
2023-11-20,ISALTEN NETT AS,18,18.34,2.5,22,5
2023-11-20,JÆREN EVERK AS,11,44.8,20,6,21
2023-11-20,JÆREN EVERK AS,11,37.3,14,22,5
2023-11-20,KE NETT AS,11,42.3,18,6,21
2023-11-20,KE NETT AS,11,29.8,8,22,5
2023-11-20,KLIVE AS,34,38.43,14.91,0,23
2023-11-20,KVAM ENERGI NETT AS,46,51.76,25.57,6,21
2023-11-20,KVAM ENERGI NETT AS,46,41.76,17.57,22,5
2023-11-20,KYSTNETT AS,18,30.44,14.6,0,23
2023-11-20,LEDE AS,30,41.05,17,0,23
2023-11-20,LEDE AS,38,41.05,17,0,23
2023-11-20,LEGA NETT AS,54,17.65,17.65,0,23
2023-11-20,LINEA AS,18,41.44,25.6,6,21
2023-11-20,LINEA AS,18,32.44,16.6,22,5
2023-11-20,LINJA AS,15,49.07,23.42,6,21
2023-11-20,LINJA AS,15,44.65,19.88,22,5
2023-11-20,LINJA AS,46,49.07,23.42,6,21
2023-11-20,LINJA AS,46,44.65,19.88,22,5
2023-11-20,LNETT AS,11,51.63,25.47,6,21
2023-11-20,LNETT AS,11,43.63,19.07,22,5
2023-11-20,LUCERNA AS,54,18.54,18.54,6,21
2023-11-20,LUCERNA AS,54,13.54,13.54,22,5
2023-11-20,LUOSTEJOK NETT AS,54,15.6,15.6,0,23
2023-11-20,LYSNA AS,46,58.55,31,6,21
2023-11-20,LYSNA AS,46,48.55,23,22,5
2023-11-20,MELLOM AS,15,50.18,24.31,6,21
2023-11-20,MELLOM AS,15,42.68,18.31,22,5
2023-11-20,MELØY NETT AS,18,39.14,23.3,6,21
2023-11-20,MELØY NETT AS,18,34.14,18.3,22,5
2023-11-20,MIDTNETT AS,30,52.67,26.3,6,21
2023-11-20,MIDTNETT AS,30,41.42,17.3,22,5
2023-11-20,MODALEN KRAFTLAG SA,46,77.81,46.41,0,23
2023-11-20,MØRENETT AS,15,45.42,20.5,6,21
2023-11-20,MØRENETT AS,15,36.67,13.5,22,5
2023-11-20,MØRENETT AS,46,45.42,20.5,6,21
2023-11-20,MØRENETT AS,46,36.67,13.5,22,5
2023-11-20,NETTINORD AS,54,27.03,27.03,6,21
2023-11-20,NETTINORD AS,54,24.03,24.03,22,5
2023-11-20,NETTSELSKAPET AS,50,44.67,19.9,6,21
2023-11-20,NETTSELSKAPET AS,50,32.92,10.5,22,5
2023-11-20,NORDVEST NETT AS,15,46.36,21.25,6,21
2023-11-20,NORDVEST NETT AS,15,38.86,15.25,22,5
2023-11-20,NOREFJELL NETT AS,30,43.61,19.05,6,21
2023-11-20,NOREFJELL NETT AS,30,35.73,12.75,22,5
2023-11-20,NORGESNETT AS,30,35.56,12.61,6,21
2023-11-20,NORGESNETT AS,30,30.56,8.61,22,5
2023-11-20,NORGESNETT AS,46,35.56,12.61,6,21
2023-11-20,NORGESNETT AS,46,30.56,8.61,22,5
2023-11-20,RAKKESTAD ENERGI AS,30,44.8,20,6,21
2023-11-20,RAKKESTAD ENERGI AS,30,38.55,15,22,5
2023-11-20,RK NETT AS,38,41.05,17,0,23
2023-11-20,ROLLAG ELEKTRISITETSVERK AS,30,49.16,23.49,6,21
2023-11-20,ROLLAG ELEKTRISITETSVERK AS,30,39.16,15.49,22,5
2023-11-20,ROMSDALSNETT AS,15,50.82,24.82,6,21
2023-11-20,ROMSDALSNETT AS,15,38.32,14.82,22,5
2023-11-20,RØROS E-VERK NETT AS,34,45.8,20.8,6,21
2023-11-20,RØROS E-VERK NETT AS,34,37.8,14.4,22,5
2023-11-20,RØROS E-VERK NETT AS,50,45.8,20.8,6,21
2023-11-20,RØROS E-VERK NETT AS,50,37.8,14.4,22,5
2023-11-20,S-NETT AS,15,50,24.16,6,21
2023-11-20,S-NETT AS,15,35.52,12.58,22,5
2023-11-20,S-NETT AS,50,50,24.16,6,21
2023-11-20,S-NETT AS,50,35.52,12.58,22,5
2023-11-20,STANNUM AS,38,48.6,23.04,6,21
2023-11-20,STANNUM AS,38,44.85,20.04,22,5
2023-11-20,STRAUMEN NETT AS,15,43.55,19,0,23
2023-11-20,STRAUMNETT AS,46,55.81,28.81,6,21
2023-11-20,STRAUMNETT AS,46,49.56,23.81,22,5
2023-11-20,SUNETT AS,15,,,0,23
2023-11-20,SYGNIR AS,34,41.96,17.73,0,23
2023-11-20,SYGNIR AS,46,41.96,17.73,0,23
2023-11-20,SØR AURDAL ENERGI AS,34,62.95,34.52,0,23
2023-11-20,TELEMARK NETT AS,38,51.05,25,0,23
2023-11-20,TENSIO TN AS,18,38.84,23,6,21
2023-11-20,TENSIO TN AS,18,27.84,12,22,5
2023-11-20,TENSIO TN AS,50,48.55,23,6,21
2023-11-20,TENSIO TN AS,50,34.8,12,22,5
2023-11-20,TENSIO TS AS,34,40.3,16.4,6,21
2023-11-20,TENSIO TS AS,34,30.67,8.7,22,5
2023-11-20,TENSIO TS AS,50,40.3,16.4,6,21
2023-11-20,TENSIO TS AS,50,30.67,8.7,22,5
2023-11-20,TINDRA NETT AS,15,44.8,20,6,21
2023-11-20,TINDRA NETT AS,15,37.3,14,22,5
2023-11-20,TINFOS AS,38,38.55,15,0,23
2023-11-20,TINFOS AS,42,38.55,15,0,23
2023-11-20,TINFOS AS,54,15,15,0,23
2023-11-20,TROLLFJORD NETT AS,18,38.34,22.5,6,21
2023-11-20,TROLLFJORD NETT AS,18,33.34,17.5,22,5
2023-11-20,UVDAL KRAFTFORSYNING SA,30,53.01,26.57,6,21
2023-11-20,UVDAL KRAFTFORSYNING SA,30,43.01,18.57,22,5
2023-11-20,VANG ENERGIVERK AS,34,37.3,14,0,23
2023-11-20,VANG ENERGIVERK AS,46,37.3,14,0,23
2023-11-20,VESTALL AS,18,24.64,8.8,6,21
2023-11-20,VESTALL AS,18,20.74,4.9,22,5
2023-11-20,VESTALL AS,54,24.64,8.8,6,21
2023-11-20,VESTALL AS,54,20.74,4.9,22,5
2023-11-20,VESTMAR NETT AS,38,39.35,15.64,0,23
2023-11-20,VEVIG AS,34,46.55,21.4,6,21
2023-11-20,VEVIG AS,34,37.05,13.8,22,5
2023-11-20,VISSI AS,54,24,24,6,21
2023-11-20,VISSI AS,54,12,12,22,5
2023-11-20,VONETT AS,46,44.8,20,6,21
2023-11-20,VONETT AS,46,38.55,15,22,5
2024-11-04,ALUT AS,55,13.1,13.1,0,23
2024-11-04,ALUT AS,56,13.1,13.1,0,23
2024-11-04,ARVA AS,18,40.54,24.1,6,21
2024-11-04,ARVA AS,18,29.04,12.6,22,5
2024-11-04,ARVA AS,55,40.54,24.1,6,21
2024-11-04,ARVA AS,55,29.04,12.6,22,5
2024-11-04,ARVA AS*,55,24.1,24.1,6,21
2024-11-04,ARVA AS*,55,12.6,12.6,22,5
2024-11-04,ASKER NETT AS,32,51.66,24.89,6,21
2024-11-04,ASKER NETT AS,32,41.66,16.89,22,5
2024-11-04,BARENTS NETT AS,56,15.1,15.1,0,23
2024-11-04,BINDAL KRAFTLAG SA,18,42.74,26.3,6,21
2024-11-04,BINDAL KRAFTLAG SA,18,37.74,21.3,22,5
2024-11-04,BKK AS,46,56.49,28.75,6,21
2024-11-04,BKK AS,46,44.69,19.31,22,5
2024-11-04,BREHEIM NETT AS,46,39.93,15.5,6,21
2024-11-04,BREHEIM NETT AS,46,29.93,7.5,22,5
2024-11-04,BØMLO KRAFTNETT AS,46,59.38,31.06,6,21
2024-11-04,BØMLO KRAFTNETT AS,46,53.13,26.06,22,5
2024-11-04,DE NETT AS,40,54.3,27,6,21
2024-11-04,DE NETT AS,40,50.55,24,22,5
2024-11-04,ELINETT AS,15,52.85,25.84,6,21
2024-11-04,ELINETT AS,15,42.85,17.84,22,5
2024-11-04,ELMEA AS,18,51.64,35.2,6,21
2024-11-04,ELMEA AS,18,40.21,23.77,22,5
2024-11-04,ELVENETT AS,33,52.43,25.5,6,21
2024-11-04,ELVENETT AS,33,46.18,20.5,22,5
2024-11-04,ELVIA AS,31,52.5,25.56,6,21
2024-11-04,ELVIA AS,31,45,19.56,22,5
