area,x,y,type,estimation_date,computation_year,computation_month
NO1,0.712924056828422,0.0507275281109533,mean_price,2023-03-08,2023,3
NO1,0.720022465108021,0.0530825794088995,mean_price,2023-03-08,2023,3
NO1,0.727120873387621,0.0554871406555285,mean_price,2023-03-08,2023,3
NO1,0.734219281667221,0.0579509582397226,mean_price,2023-03-08,2023,3
NO1,0.741317689946821,0.0604701908719173,mean_price,2023-03-08,2023,3
NO1,0.748416098226421,0.0630355753470836,mean_price,2023-03-08,2023,3
NO1,0.755514506506021,0.0656462783880784,mean_price,2023-03-08,2023,3
NO1,0.762612914785621,0.0683020358803247,mean_price,2023-03-08,2023,3
NO1,0.769711323065221,0.0710172789825759,mean_price,2023-03-08,2023,3
NO1,0.776809731344821,0.0737741353662556,mean_price,2023-03-08,2023,3
NO1,0.783908139624421,0.0765717391862575,mean_price,2023-03-08,2023,3
NO1,0.79100654790402,0.0794092296640362,mean_price,2023-03-08,2023,3
NO1,0.79810495618362,0.0822932576117455,mean_price,2023-03-08,2023,3
NO1,0.80520336446322,0.085221970722829,mean_price,2023-03-08,2023,3
NO1,0.81230177274282,0.0881870520656226,mean_price,2023-03-08,2023,3
NO1,0.81940018102242,0.0911877663396884,mean_price,2023-03-08,2023,3
NO1,0.82649858930202,0.0942233996413329,mean_price,2023-03-08,2023,3
NO1,0.833596997581619,0.0973060604187273,mean_price,2023-03-08,2023,3
NO1,0.84069540586122,0.100421956203491,mean_price,2023-03-08,2023,3
NO1,0.84779381414082,0.103570414059024,mean_price,2023-03-08,2023,3
NO1,0.854892222420419,0.106751064512098,mean_price,2023-03-08,2023,3
NO1,0.861990630700019,0.109969268236236,mean_price,2023-03-08,2023,3
NO1,0.869089038979619,0.113225927004568,mean_price,2023-03-08,2023,3
NO1,0.876187447259219,0.116514286162465,mean_price,2023-03-08,2023,3
NO1,0.883285855538819,0.119834537668576,mean_price,2023-03-08,2023,3
NO1,0.890384263818419,0.123186941522899,mean_price,2023-03-08,2023,3
NO1,0.897482672098019,0.126584319623633,mean_price,2023-03-08,2023,3
NO1,0.904581080377618,0.130016695218159,mean_price,2023-03-08,2023,3
NO1,0.911679488657218,0.133484059124912,mean_price,2023-03-08,2023,3
NO1,0.918777896936818,0.136987423361991,mean_price,2023-03-08,2023,3
NO1,0.925876305216418,0.140534201558632,mean_price,2023-03-08,2023,3
NO1,0.932974713496018,0.144130178914453,mean_price,2023-03-08,2023,3
NO1,0.940073121775618,0.147768206753909,mean_price,2023-03-08,2023,3
NO1,0.947171530055218,0.151450087078188,mean_price,2023-03-08,2023,3
NO1,0.954269938334818,0.155177699217921,mean_price,2023-03-08,2023,3
NO1,0.961368346614418,0.158971274401283,mean_price,2023-03-08,2023,3
NO1,0.968466754894017,0.162820213246441,mean_price,2023-03-08,2023,3
NO1,0.975565163173617,0.166724541505295,mean_price,2023-03-08,2023,3
NO1,0.982663571453217,0.170686756910984,mean_price,2023-03-08,2023,3
NO1,0.989761979732817,0.174718444375382,mean_price,2023-03-08,2023,3
NO1,0.996860388012417,0.178832520263874,mean_price,2023-03-08,2023,3
NO1,1.00395879629202,0.183016021996343,mean_price,2023-03-08,2023,3
NO1,1.01105720457162,0.187271727066675,mean_price,2023-03-08,2023,3
NO1,1.01815561285122,0.191602418670874,mean_price,2023-03-08,2023,3
NO1,1.02525402113082,0.196038145298334,mean_price,2023-03-08,2023,3
NO1,1.03235242941042,0.200563535784963,mean_price,2023-03-08,2023,3
NO1,1.03945083769002,0.205175619869769,mean_price,2023-03-08,2023,3
NO1,1.04654924596962,0.209876964356611,mean_price,2023-03-08,2023,3
NO1,1.05364765424922,0.21468133002257,mean_price,2023-03-08,2023,3
NO1,1.06074606252882,0.219608578101239,mean_price,2023-03-08,2023,3
NO1,1.06784447080842,0.224635006637455,mean_price,2023-03-08,2023,3
NO1,1.07494287908802,0.229762542706475,mean_price,2023-03-08,2023,3
NO1,1.08204128736762,0.234993027578793,mean_price,2023-03-08,2023,3
NO1,1.08913969564722,0.240360961738859,mean_price,2023-03-08,2023,3
NO1,1.09623810392682,0.245846322235655,mean_price,2023-03-08,2023,3
NO1,1.10333651220642,0.251440448093075,mean_price,2023-03-08,2023,3
NO1,1.11043492048602,0.257144208101639,mean_price,2023-03-08,2023,3
NO1,1.11753332876562,0.262969018071442,mean_price,2023-03-08,2023,3
NO1,1.12463173704522,0.268938229461884,mean_price,2023-03-08,2023,3
NO1,1.13173014532481,0.275018604229841,mean_price,2023-03-08,2023,3
NO1,1.13882855360441,0.281209913017143,mean_price,2023-03-08,2023,3
NO1,1.14592696188401,0.287511812102852,mean_price,2023-03-08,2023,3
NO1,1.15302537016361,0.293954479275501,mean_price,2023-03-08,2023,3
NO1,1.16012377844321,0.300517446207685,mean_price,2023-03-08,2023,3
NO1,1.16722218672281,0.307187058618928,mean_price,2023-03-08,2023,3
NO1,1.17432059500241,0.313961894793085,mean_price,2023-03-08,2023,3
NO1,1.18141900328201,0.320847945877934,mean_price,2023-03-08,2023,3
NO1,1.18851741156161,0.327866577826701,mean_price,2023-03-08,2023,3
NO1,1.19561581984121,0.334982285689264,mean_price,2023-03-08,2023,3
NO1,1.20271422812081,0.342192674712616,mean_price,2023-03-08,2023,3
NO1,1.20981263640041,0.349495258330075,mean_price,2023-03-08,2023,3
NO1,1.21691104468001,0.356909352354352,mean_price,2023-03-08,2023,3
NO1,1.22400945295961,0.364418063441288,mean_price,2023-03-08,2023,3
NO1,1.23110786123921,0.372006383395206,mean_price,2023-03-08,2023,3
NO1,1.23820626951881,0.379671023970083,mean_price,2023-03-08,2023,3
NO1,1.24530467779841,0.387412220627892,mean_price,2023-03-08,2023,3
NO1,1.25240308607801,0.395242945363168,mean_price,2023-03-08,2023,3
NO1,1.25950149435761,0.40313451699788,mean_price,2023-03-08,2023,3
NO1,1.26659990263721,0.41108304623307,mean_price,2023-03-08,2023,3
NO1,1.27369831091681,0.419084597318509,mean_price,2023-03-08,2023,3
NO1,1.28079671919641,0.427144963735659,mean_price,2023-03-08,2023,3
NO1,1.28789512747601,0.435252129173892,mean_price,2023-03-08,2023,3
NO1,1.29499353575561,0.443394547072626,mean_price,2023-03-08,2023,3
