nettselskap,konsesjonType,eierType,NO 1,NO 2,NO 3,NO 4,NO 5
HYDRO ALUMINIUM AS HYDRO ENERGI SOGN,VANLIG,INDUSTRI,0,0,0,0,216046.566877977
HYDRO ALUMINIUM AS HYDRO ENERGI SOGN_dup_1,VANLIG,INDUSTRI,0,0,0,0,798.977035450516
HYDRO ALUMINIUM AS HYDRO ENERGI SOGN_dup_2,VANLIG,INDUSTRI,0,0,0,0,571005.343547909
HYDRO ALUMINIUM AS_dup_1, ,INDUSTRI,0,0,176692.343510969,0,0
HYDRO ENERGI AS, ,INDUSTRI,0,0,0,0,2844261.68968781
HÅLOGALAND KRAFT NETT AS,VANLIG,EVERK,0,0,0,9131931230.78318,0
INDRE HORDALAND KRAFTNETT AS,VANLIG,EVERK,0,3.82827105103054,0,0,3868584037.63099
INEOS BAMBLE AS,VANLIG,INDUSTRI,0,899316.143397082,0,0,0
INOVYN NORGE AS,VANLIG,INDUSTRI,0,3291502.02257439,0,0,0
ISALTEN NETT AS,VANLIG,EVERK,0,0,0,2265413544.02158,0
JOTUN A/S, ,INDUSTRI,0,77805.1269602425,0,0,0
JOTUN A/S_dup_1, ,INDUSTRI,0,119924.078878427,0,0,0
JOTUN A/S_dup_2, ,INDUSTRI,0,76412.5104497924,0,0,0
JOTUN A/S_dup_3, ,INDUSTRI,0,16039.1183907973,0,0,0
JÆREN EVERK AS,VANLIG,EVERK,0,1067467374.64226,0,0,0
KE NETT AS,VANLIG,EVERK,0,550388413.415029,0,0,0
KLIVE AS,VANLIG,EVERK,8316014138.82813,0,566310554.449352,0,0
KVAM ENERGI NETT AS,VANLIG,EVERK,0,0.794840942093881,0,0,728991291.447568
KVÆRNER AS LOKASJON STORD,VANLIG,INDUSTRI,0,1015252.47249945,0,0,0
KYSTNETT AS,VANLIG,EVERK,0,0,0,7427750049.35343,0
Kongsberg Teknologipark AS,VANLIG,NÆRINGSPARK,220010.155900064,0,0,0,0
Kongsberg Teknologipark AS_dup_1,VANLIG,NÆRINGSPARK,13905.6649999303,0,0,0,0
Kongsberg Teknologipark AS_dup_2,VANLIG,NÆRINGSPARK,562004.765152659,0,0,0,0
LEDE AS,VANLIG,EVERK,7.03536254841269,5684873602.53326,0,0,0
LEDE AS_dup_1,VANLIG,EVERK,0,793412367.344162,0,0,0
LEGA NETT AS,VANLIG,EVERK,0,0,0,8735011903.46762,0
LINEA AS,VANLIG,EVERK,0,0,0,24272229118.2476,0
LINJA AS,VANLIG,EVERK,0,0,9149422264.34394,0,0
LKAB NORGE AS,VANLIG,INDUSTRI,0,0,0,403741.378775865,0
LNETT AS,UTVIDET 132,EVERK,0,5248781472.77802,0,0,0
LUCERNA AS,VANLIG,EVERK,0,0,0,7801227284.64758,0
LUOSTEJOK NETT AS,VANLIG,EVERK,0,0,0,11066369637.9632,0
LYSNA AS,VANLIG,EVERK,0,509933304.092948,0,0,9.88570202742643
MELLOM AS,VANLIG,EVERK,0,0,5106088366.93853,0,0
MELØY NETT AS,VANLIG,EVERK,0,0,0,2743699758.76546,0
MIDTNETT AS,VANLIG,EVERK,1926436283.01953,0.0368115268647671,0,0,1.69404444925021
MIP INDUSTRINETT AS,VANLIG,INDUSTRI,0,0,0,2470444.04068948,0
